Año	Mes	violence type	CaseCount
1958	1	VI	0
1958	1	VS	79
1958	2	VI	0
1958	2	VS	49
1958	3	VI	0
1958	3	VS	38
1958	4	VI	0
1958	4	VS	41
1958	5	VI	1
1958	5	VS	39
1958	6	VI	0
1958	6	VS	40
1958	7	VI	0
1958	7	VS	60
1958	8	VI	0
1958	8	VS	29
1958	9	VI	0
1958	9	VS	17
1958	10	VI	0
1958	10	VS	14
1958	11	VI	0
1958	11	VS	21
1958	12	VI	0
1958	12	VS	10
1959	1	VI	0
1959	1	VS	17
1959	2	VI	0
1959	2	VS	13
1959	3	VI	0
1959	3	VS	28
1959	4	VI	0
1959	4	VS	24
1959	5	VI	0
1959	5	VS	22
1959	6	VI	0
1959	6	VS	35
1959	7	VI	1
1959	7	VS	27
1959	8	VI	0
1959	8	VS	19
1959	9	VI	0
1959	9	VS	14
1959	10	VI	0
1959	10	VS	13
1959	11	VI	0
1959	11	VS	32
1959	12	VI	0
1959	12	VS	18
1960	1	VI	0
1960	1	VS	51
1960	2	VI	0
1960	2	VS	9
1960	3	VI	0
1960	3	VS	9
1960	4	VI	0
1960	4	VS	24
1960	5	VI	0
1960	5	VS	27
1960	6	VI	0
1960	6	VS	22
1960	7	VI	0
1960	7	VS	61
1960	8	VI	0
1960	8	VS	70
1960	9	VI	0
1960	9	VS	28
1960	10	VI	0
1960	10	VS	17
1960	11	VI	0
1960	11	VS	9
1960	12	VI	0
1960	12	VS	10
1961	1	VI	0
1961	1	VS	41
1961	2	VI	0
1961	2	VS	19
1961	3	VI	0
1961	3	VS	17
1961	4	VI	0
1961	4	VS	29
1961	5	VI	0
1961	5	VS	20
1961	6	VI	0
1961	6	VS	11
1961	7	VI	0
1961	7	VS	19
1961	8	VI	0
1961	8	VS	23
1961	9	VI	0
1961	9	VS	17
1961	10	VI	0
1961	10	VS	21
1961	11	VI	0
1961	11	VS	17
1961	12	VI	0
1961	12	VS	22
1962	1	VI	0
1962	1	VS	45
1962	2	VI	0
1962	2	VS	49
1962	3	VI	0
1962	3	VS	26
1962	4	VI	0
1962	4	VS	13
1962	5	VI	0
1962	5	VS	12
1962	6	VI	0
1962	6	VS	18
1962	7	VI	0
1962	7	VS	45
1962	8	VI	0
1962	8	VS	39
1962	9	VI	1
1962	9	VS	24
1962	10	VI	1
1962	10	VS	28
1962	11	VI	0
1962	11	VS	26
1962	12	VI	1
1962	12	VS	16
1963	1	VI	0
1963	1	VS	44
1963	2	VI	0
1963	2	VS	26
1963	3	VI	1
1963	3	VS	29
1963	4	VI	1
1963	4	VS	16
1963	5	VI	0
1963	5	VS	13
1963	6	VI	1
1963	6	VS	29
1963	7	VI	0
1963	7	VS	28
1963	8	VI	2
1963	8	VS	15
1963	9	VI	0
1963	9	VS	18
1963	10	VI	0
1963	10	VS	13
1963	11	VI	0
1963	11	VS	7
1963	12	VI	0
1963	12	VS	8
1964	1	VI	0
1964	1	VS	12
1964	2	VI	0
1964	2	VS	11
1964	3	VI	0
1964	3	VS	12
1964	4	VI	0
1964	4	VS	9
1964	5	VI	0
1964	5	VS	11
1964	6	VI	2
1964	6	VS	9
1964	7	VI	0
1964	7	VS	14
1964	8	VI	0
1964	8	VS	4
1964	9	VI	0
1964	9	VS	3
1964	10	VI	0
1964	10	VS	4
1964	11	VI	0
1964	11	VS	2
1964	12	VI	0
1964	12	VS	5
1965	1	VI	0
1965	1	VS	24
1965	2	VI	3
1965	2	VS	18
1965	3	VI	1
1965	3	VS	21
1965	4	VI	0
1965	4	VS	19
1965	5	VI	0
1965	5	VS	15
1965	6	VI	1
1965	6	VS	7
1965	7	VI	1
1965	7	VS	15
1965	8	VI	0
1965	8	VS	5
1965	9	VI	0
1965	9	VS	6
1965	10	VI	0
1965	10	VS	11
1965	11	VI	0
1965	11	VS	7
1965	12	VI	0
1965	12	VS	2
1966	1	VI	0
1966	1	VS	13
1966	2	VI	0
1966	2	VS	1
1966	3	VI	0
1966	3	VS	0
1966	4	VI	0
1966	4	VS	6
1966	5	VI	0
1966	5	VS	5
1966	6	VI	0
1966	6	VS	4
1966	7	VI	0
1966	7	VS	3
1966	8	VI	0
1966	8	VS	3
1966	9	VI	0
1966	9	VS	2
1966	10	VI	0
1966	10	VS	2
1966	11	VI	0
1966	11	VS	2
1966	12	VI	0
1966	12	VS	0
1967	1	VI	0
1967	1	VS	0
1967	2	VI	0
1967	2	VS	0
1967	3	VI	0
1967	3	VS	1
1967	4	VI	0
1967	4	VS	0
1967	5	VI	0
1967	5	VS	0
1967	6	VI	0
1967	6	VS	0
1967	7	VI	0
1967	7	VS	2
1967	8	VI	0
1967	8	VS	0
1967	9	VI	0
1967	9	VS	0
1967	10	VI	0
1967	10	VS	0
1967	11	VI	0
1967	11	VS	0
1967	12	VI	0
1967	12	VS	2
1968	1	VI	0
1968	1	VS	10
1968	2	VI	0
1968	2	VS	4
1968	3	VI	0
1968	3	VS	9
1968	4	VI	0
1968	4	VS	3
1968	5	VI	0
1968	5	VS	4
1968	6	VI	0
1968	6	VS	3
1968	7	VI	0
1968	7	VS	0
1968	8	VI	0
1968	8	VS	2
1968	9	VI	0
1968	9	VS	4
1968	10	VI	0
1968	10	VS	4
1968	11	VI	0
1968	11	VS	9
1968	12	VI	0
1968	12	VS	2
1969	1	VI	0
1969	1	VS	2
1969	2	VI	0
1969	2	VS	5
1969	3	VI	0
1969	3	VS	8
1969	4	VI	0
1969	4	VS	4
1969	5	VI	0
1969	5	VS	6
1969	6	VI	0
1969	6	VS	3
1969	7	VI	0
1969	7	VS	3
1969	8	VI	0
1969	8	VS	10
1969	9	VI	0
1969	9	VS	2
1969	10	VI	0
1969	10	VS	5
1969	11	VI	0
1969	11	VS	3
1969	12	VI	0
1969	12	VS	5
1970	1	VI	1
1970	1	VS	12
1970	2	VI	1
1970	2	VS	10
1970	3	VI	0
1970	3	VS	11
1970	4	VI	0
1970	4	VS	6
1970	5	VI	0
1970	5	VS	11
1970	6	VI	0
1970	6	VS	8
1970	7	VI	0
1970	7	VS	9
1970	8	VI	0
1970	8	VS	5
1970	9	VI	0
1970	9	VS	7
1970	10	VI	0
1970	10	VS	6
1970	11	VI	0
1970	11	VS	4
1970	12	VI	0
1970	12	VS	2
1971	1	VI	0
1971	1	VS	6
1971	2	VI	0
1971	2	VS	5
1971	3	VI	0
1971	3	VS	2
1971	4	VI	0
1971	4	VS	4
1971	5	VI	0
1971	5	VS	2
1971	6	VI	0
1971	6	VS	2
1971	7	VI	0
1971	7	VS	1
1971	8	VI	0
1971	8	VS	5
1971	9	VI	0
1971	9	VS	3
1971	10	VI	0
1971	10	VS	3
1971	11	VI	0
1971	11	VS	3
1971	12	VI	0
1971	12	VS	3
1972	1	VI	0
1972	1	VS	9
1972	2	VI	0
1972	2	VS	2
1972	3	VI	0
1972	3	VS	8
1972	4	VI	0
1972	4	VS	2
1972	5	VI	0
1972	5	VS	9
1972	6	VI	0
1972	6	VS	5
1972	7	VI	0
1972	7	VS	3
1972	8	VI	0
1972	8	VS	2
1972	9	VI	0
1972	9	VS	7
1972	10	VI	0
1972	10	VS	2
1972	11	VI	1
1972	11	VS	2
1972	12	VI	0
1972	12	VS	0
1973	1	VI	0
1973	1	VS	10
1973	2	VI	0
1973	2	VS	3
1973	3	VI	0
1973	3	VS	3
1973	4	VI	0
1973	4	VS	2
1973	5	VI	0
1973	5	VS	3
1973	6	VI	0
1973	6	VS	5
1973	7	VI	0
1973	7	VS	5
1973	8	VI	0
1973	8	VS	3
1973	9	VI	0
1973	9	VS	1
1973	10	VI	0
1973	10	VS	2
1973	11	VI	0
1973	11	VS	2
1973	12	VI	0
1973	12	VS	3
1974	1	VI	0
1974	1	VS	10
1974	2	VI	0
1974	2	VS	1
1974	3	VI	0
1974	3	VS	2
1974	4	VI	0
1974	4	VS	7
1974	5	VI	0
1974	5	VS	7
1974	6	VI	0
1974	6	VS	8
1974	7	VI	0
1974	7	VS	8
1974	8	VI	0
1974	8	VS	3
1974	9	VI	0
1974	9	VS	6
1974	10	VI	1
1974	10	VS	4
1974	11	VI	0
1974	11	VS	0
1974	12	VI	0
1974	12	VS	2
1975	1	VI	0
1975	1	VS	11
1975	2	VI	0
1975	2	VS	7
1975	3	VI	0
1975	3	VS	10
1975	4	VI	0
1975	4	VS	3
1975	5	VI	0
1975	5	VS	2
1975	6	VI	0
1975	6	VS	9
1975	7	VI	0
1975	7	VS	5
1975	8	VI	0
1975	8	VS	8
1975	9	VI	0
1975	9	VS	6
1975	10	VI	0
1975	10	VS	5
1975	11	VI	2
1975	11	VS	6
1975	12	VI	0
1975	12	VS	4
1976	1	VI	0
1976	1	VS	10
1976	2	VI	1
1976	2	VS	5
1976	3	VI	0
1976	3	VS	11
1976	4	VI	0
1976	4	VS	2
1976	5	VI	0
1976	5	VS	11
1976	6	VI	0
1976	6	VS	5
1976	7	VI	2
1976	7	VS	13
1976	8	VI	1
1976	8	VS	6
1976	9	VI	0
1976	9	VS	7
1976	10	VI	0
1976	10	VS	6
1976	11	VI	0
1976	11	VS	3
1976	12	VI	0
1976	12	VS	4
1977	1	VI	1
1977	1	VS	7
1977	2	VI	0
1977	2	VS	7
1977	3	VI	0
1977	3	VS	11
1977	4	VI	0
1977	4	VS	10
1977	5	VI	0
1977	5	VS	10
1977	6	VI	0
1977	6	VS	10
1977	7	VI	0
1977	7	VS	2
1977	8	VI	0
1977	8	VS	15
1977	9	VI	0
1977	9	VS	6
1977	10	VI	0
1977	10	VS	9
1977	11	VI	0
1977	11	VS	9
1977	12	VI	0
1977	12	VS	14
1978	1	VI	0
1978	1	VS	24
1978	2	VI	2
1978	2	VS	9
1978	3	VI	0
1978	3	VS	9
1978	4	VI	0
1978	4	VS	8
1978	5	VI	1
1978	5	VS	15
1978	6	VI	1
1978	6	VS	10
1978	7	VI	0
1978	7	VS	9
1978	8	VI	2
1978	8	VS	8
1978	9	VI	0
1978	9	VS	12
1978	10	VI	0
1978	10	VS	7
1978	11	VI	0
1978	11	VS	12
1978	12	VI	0
1978	12	VS	8
1979	1	VI	1
1979	1	VS	23
1979	2	VI	1
1979	2	VS	14
1979	3	VI	0
1979	3	VS	21
1979	4	VI	0
1979	4	VS	19
1979	5	VI	1
1979	5	VS	19
1979	6	VI	1
1979	6	VS	25
1979	7	VI	1
1979	7	VS	25
1979	8	VI	0
1979	8	VS	14
1979	9	VI	0
1979	9	VS	26
1979	10	VI	0
1979	10	VS	19
1979	11	VI	0
1979	11	VS	20
1979	12	VI	0
1979	12	VS	27
1980	1	VI	0
1980	1	VS	36
1980	2	VI	0
1980	2	VS	14
1980	3	VI	0
1980	3	VS	8
1980	4	VI	0
1980	4	VS	15
1980	5	VI	0
1980	5	VS	15
1980	6	VI	0
1980	6	VS	15
1980	7	VI	0
1980	7	VS	13
1980	8	VI	0
1980	8	VS	16
1980	9	VI	0
1980	9	VS	7
1980	10	VI	0
1980	10	VS	14
1980	11	VI	0
1980	11	VS	22
1980	12	VI	0
1980	12	VS	20
1981	1	VI	1
1981	1	VS	57
1981	2	VI	0
1981	2	VS	22
1981	3	VI	0
1981	3	VS	27
1981	4	VI	0
1981	4	VS	34
1981	5	VI	0
1981	5	VS	38
1981	6	VI	0
1981	6	VS	19
1981	7	VI	1
1981	7	VS	28
1981	8	VI	0
1981	8	VS	21
1981	9	VI	0
1981	9	VS	18
1981	10	VI	1
1981	10	VS	42
1981	11	VI	0
1981	11	VS	46
1981	12	VI	0
1981	12	VS	41
1982	1	VI	0
1982	1	VS	69
1982	2	VI	0
1982	2	VS	40
1982	3	VI	1
1982	3	VS	51
1982	4	VI	0
1982	4	VS	22
1982	5	VI	0
1982	5	VS	32
1982	6	VI	0
1982	6	VS	37
1982	7	VI	0
1982	7	VS	33
1982	8	VI	1
1982	8	VS	58
1982	9	VI	0
1982	9	VS	44
1982	10	VI	0
1982	10	VS	41
1982	11	VI	1
1982	11	VS	42
1982	12	VI	0
1982	12	VS	24
1983	1	VI	0
1983	1	VS	120
1983	2	VI	0
1983	2	VS	65
1983	3	VI	0
1983	3	VS	70
1983	4	VI	0
1983	4	VS	78
1983	5	VI	1
1983	5	VS	82
1983	6	VI	0
1983	6	VS	75
1983	7	VI	0
1983	7	VS	99
1983	8	VI	0
1983	8	VS	90
1983	9	VI	0
1983	9	VS	58
1983	10	VI	0
1983	10	VS	54
1983	11	VI	2
1983	11	VS	77
1983	12	VI	0
1983	12	VS	55
1984	1	VI	2
1984	1	VS	107
1984	2	VI	0
1984	2	VS	91
1984	3	VI	1
1984	3	VS	83
1984	4	VI	2
1984	4	VS	97
1984	5	VI	0
1984	5	VS	114
1984	6	VI	0
1984	6	VS	83
1984	7	VI	1
1984	7	VS	84
1984	8	VI	0
1984	8	VS	114
1984	9	VI	2
1984	9	VS	67
1984	10	VI	0
1984	10	VS	112
1984	11	VI	0
1984	11	VS	78
1984	12	VI	3
1984	12	VS	97
1985	1	VI	1
1985	1	VS	218
1985	2	VI	0
1985	2	VS	122
1985	3	VI	0
1985	3	VS	164
1985	4	VI	1
1985	4	VS	167
1985	5	VI	2
1985	5	VS	173
1985	6	VI	0
1985	6	VS	187
1985	7	VI	0
1985	7	VS	204
1985	8	VI	1
1985	8	VS	158
1985	9	VI	3
1985	9	VS	136
1985	10	VI	1
1985	10	VS	152
1985	11	VI	1
1985	11	VS	213
1985	12	VI	0
1985	12	VS	232
1986	1	VI	0
1986	1	VS	327
1986	2	VI	0
1986	2	VS	150
1986	3	VI	0
1986	3	VS	203
1986	4	VI	1
1986	4	VS	212
1986	5	VI	1
1986	5	VS	179
1986	6	VI	0
1986	6	VS	228
1986	7	VI	0
1986	7	VS	170
1986	8	VI	0
1986	8	VS	204
1986	9	VI	0
1986	9	VS	217
1986	10	VI	0
1986	10	VS	196
1986	11	VI	0
1986	11	VS	220
1986	12	VI	1
1986	12	VS	222
1987	1	VI	3
1987	1	VS	321
1987	2	VI	1
1987	2	VS	188
1987	3	VI	0
1987	3	VS	218
1987	4	VI	1
1987	4	VS	214
1987	5	VI	0
1987	5	VS	201
1987	6	VI	0
1987	6	VS	206
1987	7	VI	2
1987	7	VS	220
1987	8	VI	0
1987	8	VS	256
1987	9	VI	2
1987	9	VS	212
1987	10	VI	3
1987	10	VS	269
1987	11	VI	1
1987	11	VS	245
1987	12	VI	1
1987	12	VS	293
1988	1	VI	2
1988	1	VS	448
1988	2	VI	0
1988	2	VS	365
1988	3	VI	4
1988	3	VS	319
