Año	Mes	CaseCount
1958	1	8
1958	2	2
1958	3	4
1958	4	1
1958	5	4
1958	6	1
1958	7	6
1958	8	4
1958	9	5
1958	10	0
1958	11	1
1958	12	1
1959	1	0
1959	2	1
1959	3	7
1959	4	3
1959	5	4
1959	6	0
1959	7	2
1959	8	2
1959	9	0
1959	10	0
1959	11	0
1959	12	3
1960	1	5
1960	2	1
1960	3	4
1960	4	7
1960	5	3
1960	6	6
1960	7	8
1960	8	9
1960	9	14
1960	10	3
1960	11	0
1960	12	7
1961	1	19
1961	2	8
1961	3	8
1961	4	4
1961	5	0
1961	6	2
1961	7	2
1961	8	5
1961	9	8
1961	10	2
1961	11	4
1961	12	0
1962	1	11
1962	2	8
1962	3	11
1962	4	6
1962	5	4
1962	6	3
1962	7	5
1962	8	4
1962	9	4
1962	10	2
1962	11	3
1962	12	2
1963	1	2
1963	2	4
1963	3	2
1963	4	6
1963	5	0
1963	6	1
1963	7	1
1963	8	0
1963	9	2
1963	10	1
1963	11	2
1963	12	1
1964	1	2
1964	2	4
1964	3	1
1964	4	3
1964	5	1
1964	6	4
1964	7	6
1964	8	0
1964	9	2
1964	10	1
1964	11	2
1964	12	3
1965	1	13
1965	2	9
1965	3	7
1965	4	4
1965	5	7
1965	6	4
1965	7	3
1965	8	5
1965	9	3
1965	10	6
1965	11	2
1965	12	1
1966	1	4
1966	2	0
1966	3	0
1966	4	1
1966	5	2
1966	6	2
1966	7	0
1966	8	1
1966	9	0
1966	10	0
1966	11	2
1966	12	0
1967	1	0
1967	2	0
1967	3	0
1967	4	0
1967	5	0
1967	6	0
1967	7	0
1967	8	0
1967	9	0
1967	10	0
1967	11	0
1967	12	1
1968	1	0
1968	2	0
1968	3	2
1968	4	1
1968	5	0
1968	6	0
1968	7	0
1968	8	0
1968	9	0
1968	10	2
1968	11	1
1968	12	0
1969	1	0
1969	2	1
1969	3	7
1969	4	2
1969	5	3
1969	6	1
1969	7	3
1969	8	8
1969	9	1
1969	10	1
1969	11	0
1969	12	5
1970	1	14
1970	2	13
1970	3	4
1970	4	10
1970	5	6
1970	6	5
1970	7	10
1970	8	5
1970	9	2
1970	10	3
1970	11	0
1970	12	6
1971	1	6
1971	2	5
1971	3	0
1971	4	9
1971	5	0
1971	6	1
1971	7	3
1971	8	2
1971	9	2
1971	10	1
1971	11	2
1971	12	1
1972	1	6
1972	2	2
1972	3	4
1972	4	1
1972	5	3
1972	6	6
1972	7	1
1972	8	2
1972	9	0
1972	10	2
1972	11	6
1972	12	3
1973	1	6
1973	2	4
1973	3	5
1973	4	1
1973	5	1
1973	6	1
1973	7	1
1973	8	2
1973	9	7
1973	10	5
1973	11	2
1973	12	2
1974	1	4
1974	2	6
1974	3	4
1974	4	2
1974	5	6
1974	6	1
1974	7	0
1974	8	1
1974	9	0
1974	10	0
1974	11	0
1974	12	0
1975	1	2
1975	2	2
1975	3	3
1975	4	2
1975	5	0
1975	6	3
1975	7	0
1975	8	7
1975	9	3
1975	10	3
1975	11	0
1975	12	1
1976	1	5
