Año	Mes	CaseCount
1958	1	7
1958	2	2
1958	3	1
1958	4	0
1958	5	2
1958	6	1
1958	7	1
1958	8	0
1958	9	0
1958	10	0
1958	11	1
1958	12	1
1959	1	0
1959	2	0
1959	3	1
1959	4	0
1959	5	1
1959	6	0
1959	7	2
1959	8	4
1959	9	1
1959	10	0
1959	11	2
1959	12	0
1960	1	1
1960	2	2
1960	3	0
1960	4	1
1960	5	2
1960	6	2
1960	7	3
1960	8	3
1960	9	7
1960	10	8
1960	11	1
1960	12	1
1961	1	2
1961	2	1
1961	3	5
1961	4	6
1961	5	4
1961	6	5
1961	7	3
1961	8	1
1961	9	2
1961	10	4
1961	11	6
1961	12	5
1962	1	2
1962	2	1
1962	3	3
1962	4	4
1962	5	0
1962	6	1
1962	7	4
1962	8	6
1962	9	5
1962	10	1
1962	11	0
1962	12	2
1963	1	4
1963	2	4
1963	3	4
1963	4	3
1963	5	2
1963	6	1
1963	7	1
1963	8	0
1963	9	5
1963	10	0
1963	11	1
1963	12	0
1964	1	3
1964	2	0
1964	3	0
1964	4	0
1964	5	2
1964	6	1
1964	7	1
1964	8	0
1964	9	0
1964	10	0
1964	11	0
1964	12	0
1965	1	7
1965	2	8
1965	3	3
1965	4	0
1965	5	0
1965	6	0
1965	7	1
1965	8	3
1965	9	1
1965	10	0
1965	11	1
1965	12	2
1966	1	4
1966	2	3
1966	3	2
1966	4	2
1966	5	0
1966	6	1
1966	7	3
1966	8	3
1966	9	0
1966	10	0
1966	11	0
1966	12	0
1967	1	0
1967	2	1
1967	3	5
1967	4	0
1967	5	0
1967	6	1
1967	7	0
1967	8	0
1967	9	0
1967	10	0
1967	11	0
1967	12	1
1968	1	7
1968	2	2
1968	3	4
1968	4	1
1968	5	5
1968	6	1
1968	7	2
1968	8	3
1968	9	8
1968	10	5
1968	11	7
1968	12	2
1969	1	0
1969	2	4
1969	3	5
1969	4	1
1969	5	1
1969	6	2
1969	7	2
1969	8	3
1969	9	2
1969	10	0
1969	11	2
1969	12	0
1970	1	1
1970	2	1
1970	3	4
1970	4	2
1970	5	2
1970	6	4
1970	7	1
1970	8	0
1970	9	3
1970	10	0
1970	11	0
1970	12	0
1971	1	4
1971	2	5
1971	3	2
1971	4	2
1971	5	1
1971	6	0
1971	7	2
1971	8	4
1971	9	0
1971	10	4
1971	11	3
1971	12	1
1972	1	3
1972	2	1
1972	3	0
1972	4	2
1972	5	1
1972	6	1
1972	7	0
1972	8	0
1972	9	3
1972	10	1
1972	11	0
1972	12	0
1973	1	2
1973	2	1
1973	3	1
1973	4	1
1973	5	1
1973	6	1
1973	7	0
1973	8	1
1973	9	1
1973	10	0
1973	11	1
1973	12	2
1974	1	0
1974	2	0
1974	3	0
1974	4	1
1974	5	0
1974	6	2
1974	7	5
1974	8	3
1974	9	2
1974	10	3
1974	11	0
1974	12	0
1975	1	3
1975	2	1
1975	3	0
1975	4	3
1975	5	0
1975	6	0
1975	7	0
1975	8	1
1975	9	2
1975	10	1
1975	11	5
1975	12	1
1976	1	1
1976	2	0
1976	3	3
1976	4	0
1976	5	5
1976	6	3
1976	7	7
1976	8	3
1976	9	0
1976	10	3
1976	11	1
1976	12	3
1977	1	1
1977	2	0
1977	3	4
1977	4	4
1977	5	0
1977	6	2
1977	7	0
1977	8	6
1977	9	6
1977	10	10
1977	11	2
1977	12	5
1978	1	5
1978	2	7
1978	3	2
1978	4	2
1978	5	7
1978	6	3
1978	7	3
1978	8	1
1978	9	2
1978	10	3
1978	11	4
1978	12	2
1979	1	9
1979	2	3
1979	3	3
1979	4	3
1979	5	2
1979	6	8
1979	7	2
1979	8	8
1979	9	3
1979	10	4
1979	11	1
1979	12	2
1980	1	7
1980	2	1
1980	3	1
1980	4	2
1980	5	4
1980	6	0
1980	7	2
1980	8	2
1980	9	6
1980	10	2
1980	11	2
1980	12	3
1981	1	16
1981	2	6
1981	3	8
1981	4	13
1981	5	12
1981	6	5
1981	7	2
1981	8	5
1981	9	3
1981	10	8
1981	11	7
1981	12	5
1982	1	11
1982	2	2
1982	3	7
1982	4	4
1982	5	3
1982	6	11
1982	7	8
1982	8	11
1982	9	11
1982	10	9
1982	11	9
1982	12	11
1983	1	17
1983	2	23
1983	3	6
1983	4	11
1983	5	22
1983	6	16
1983	7	34
1983	8	17
1983	9	6
1983	10	4
1983	11	3
1983	12	7
1984	1	20
1984	2	18
1984	3	11
1984	4	10
1984	5	15
1984	6	8
1984	7	8
1984	8	30
1984	9	12
1984	10	23
1984	11	9
1984	12	21
1985	1	22
1985	2	18
1985	3	15
1985	4	23
1985	5	16
1985	6	30
1985	7	23
1985	8	28
1985	9	8
1985	10	6
1985	11	13
1985	12	15
1986	1	35
1986	2	10
1986	3	21
1986	4	33
1986	5	19
1986	6	34
1986	7	17
1986	8	35
1986	9	43
1986	10	47
1986	11	35
1986	12	23
1987	1	35
1987	2	31
1987	3	31
1987	4	29
1987	5	25
1987	6	22
1987	7	39
1987	8	45
1987	9	34
1987	10	40
1987	11	28
1987	12	30
1988	1	69
1988	2	83
1988	3	36
1988	4	55
1988	5	69
1988	6	62
1988	7	75
1988	8	60
1988	9	63
1988	10	93
1988	11	62
1988	12	58
1989	1	78
1989	2	53
1989	3	40
1989	4	52
1989	5	52
1989	6	49
1989	7	56
1989	8	55
1989	9	32
1989	10	45
1989	11	41
1989	12	48
1990	1	74
1990	2	52
1990	3	41
1990	4	38
1990	5	37
1990	6	26
1990	7	77
1990	8	53
1990	9	61
1990	10	48
1990	11	48
1990	12	43
1991	1	84
1991	2	87
1991	3	112
1991	4	56
1991	5	68
1991	6	63
1991	7	60
1991	8	55
1991	9	50
1991	10	69
1991	11	44
1991	12	48
1992	1	76
1992	2	67
1992	3	46
1992	4	49
1992	5	73
1992	6	87
1992	7	71
1992	8	60
1992	9	58
1992	10	67
1992	11	108
1992	12	75
1993	1	61
1993	2	65
1993	3	64
1993	4	49
1993	5	37
1993	6	37
1993	7	43
1993	8	43
1993	9	60
1993	10	50
1993	11	52
1993	12	56
1994	1	51
1994	2	43
1994	3	52
1994	4	39
1994	5	60
1994	6	63
1994	7	78
1994	8	45
1994	9	37
1994	10	52
1994	11	29
1994	12	35
1995	1	56
1995	2	43
1995	3	48
1995	4	49
1995	5	37
1995	6	31
1995	7	44
1995	8	40
1995	9	53
1995	10	47
1995	11	37
1995	12	29
1996	1	40
1996	2	31
1996	3	30
1996	4	49
1996	5	39
1996	6	36
1996	7	45
1996	8	44
1996	9	46
1996	10	31
1996	11	26
1996	12	46
1997	1	45
1997	2	31
1997	3	46
1997	4	44
1997	5	65
1997	6	53
1997	7	83
1997	8	55
1997	9	66
1997	10	65
1997	11	52
1997	12	48
1998	1	58
1998	2	61
1998	3	87
1998	4	56
1998	5	75
1998	6	72
1998	7	58
1998	8	81
1998	9	73
1998	10	87
1998	11	69
1998	12	47
1999	1	76
1999	2	38
1999	3	61
1999	4	57
1999	5	69
1999	6	56
1999	7	57
1999	8	68
1999	9	78
1999	10	82
1999	11	70
1999	12	55
2000	1	125
2000	2	81
2000	3	90
2000	4	96
2000	5	65
2000	6	108
2000	7	108
2000	8	108
2000	9	91
2000	10	71
2000	11	119
2000	12	94
2001	1	191
2001	2	116
2001	3	124
2001	4	87
2001	5	87
2001	6	81
2001	7	91
2001	8	113
2001	9	69
2001	10	91
2001	11	81
2001	12	75
2002	1	101
2002	2	71
2002	3	107
2002	4	106
2002	5	71
2002	6	92
2002	7	69
2002	8	93
2002	9	79
2002	10	82
2002	11	83
2002	12	75
2003	1	108
2003	2	63
2003	3	75
2003	4	74
2003	5	75
2003	6	85
2003	7	78
2003	8	69
2003	9	55
2003	10	60
2003	11	58
2003	12	60
2004	1	71
2004	2	40
2004	3	34
2004	4	44
2004	5	39
2004	6	45
2004	7	29
2004	8	30
2004	9	29
2004	10	34
2004	11	32
2004	12	44
2005	1	35
2005	2	38
2005	3	20
2005	4	30
2005	5	33
2005	6	22
2005	7	18
2005	8	28
2005	9	21
2005	10	22
2005	11	28
2005	12	25
2006	1	29
2006	2	22
2006	3	21
2006	4	10
2006	5	21
2006	6	20
2006	7	20
2006	8	14
2006	9	12
2006	10	33
2006	11	26
2006	12	18
2007	1	15
2007	2	21
2007	3	16
2007	4	15
2007	5	21
2007	6	15
2007	7	10
2007	8	10
2007	9	15
2007	10	13
2007	11	17
2007	12	12
2008	1	24
2008	2	10
2008	3	11
2008	4	15
2008	5	9
2008	6	11
2008	7	11
2008	8	12
2008	9	7
2008	10	18
2008	11	11
2008	12	12
2009	1	11
2009	2	11
2009	3	17
2009	4	7
2009	5	14
2009	6	10
2009	7	23
2009	8	21
2009	9	18
2009	10	27
2009	11	10
2009	12	6
2010	1	9
2010	2	8
2010	3	7
2010	4	6
2010	5	4
2010	6	7
2010	7	10
2010	8	4
2010	9	10
2010	10	7
2010	11	5
2010	12	7
2011	1	1
2011	2	1
2011	3	3
2011	4	4
2011	5	3
2011	6	2
2011	7	7
2011	8	7
2011	9	5
2011	10	4
2011	11	1
2011	12	3
2012	1	5
2012	2	5
2012	3	1
2012	4	3
2012	5	7
2012	6	2
2012	7	7
2012	8	2
2012	9	6
2012	10	9
2012	11	6
2012	12	2
2013	1	3
2013	2	2
2013	3	3
2013	4	7
2013	5	5
2013	6	2
2013	7	5
2013	8	2
2013	9	4
2013	10	7
2013	11	4
2013	12	7
2014	1	4
2014	2	7
2014	3	5
2014	4	8
2014	5	6
2014	6	4
2014	7	6
2014	8	5
2014	9	6
2014	10	4
2014	11	3
2014	12	3
2015	1	3
2015	2	4
2015	3	5
2015	4	8
2015	5	7
2015	6	3
2015	7	9
2015	8	8
2015	9	1
2015	10	1
2015	11	6
2015	12	5
2016	1	6
2016	2	0
2016	3	3
2016	4	2
2016	5	3
2016	6	4
2016	7	1
2016	8	3
2016	9	1
2016	10	2
2016	11	1
2016	12	3
2017	1	4
2017	2	5
2017	3	3
2017	4	6
2017	5	6
2017	6	7
2017	7	3
2017	8	5
2017	9	1
2017	10	0
2017	11	2
2017	12	1
2018	1	4
2018	2	1
2018	3	2
2018	4	2
2018	5	4
2018	6	2
2018	7	3
2018	8	7
2018	9	0
2018	10	1
2018	11	0
2018	12	3
2019	1	1
2019	2	3
2019	3	2
2019	4	1
2019	5	1
2019	6	2
2019	7	3
2019	8	0
2019	9	2
2019	10	1
2019	11	1
2019	12	0
2020	1	4
2020	2	1
2020	3	0
2020	4	0
2020	5	0
2020	6	0
2020	7	1
2020	8	1
2020	9	0
2020	10	1
2020	11	0
2020	12	1
2021	1	1
2021	2	0
2021	3	0
2021	4	1
2021	5	0
2021	6	0
2021	7	0
2021	8	0
2021	9	0
2021	10	1
2021	11	0
2021	12	0
2022	1	1
2022	2	2
2022	3	1
2022	4	3
2022	5	5
2022	6	2
2022	7	3
2022	8	2
2022	9	4
2022	10	1
2022	11	1
2022	12	0
