Año	Mes	CaseCount
1958	1	13
1958	2	16
1958	3	15
1958	4	14
1958	5	13
1958	6	2
1958	7	21
1958	8	4
1958	9	3
1958	10	1
1958	11	0
1958	12	1
1959	1	1
1959	2	3
1959	3	4
1959	4	8
1959	5	3
1959	6	10
1959	7	3
1959	8	4
1959	9	2
1959	10	1
1959	11	6
1959	12	4
1960	1	16
1960	2	0
1960	3	1
1960	4	6
1960	5	20
1960	6	7
1960	7	14
1960	8	31
1960	9	2
1960	10	0
1960	11	1
1960	12	2
1961	1	13
1961	2	5
1961	3	6
1961	4	11
1961	5	8
1961	6	5
1961	7	1
1961	8	10
1961	9	4
1961	10	4
1961	11	7
1961	12	9
1962	1	34
1962	2	40
1962	3	10
1962	4	6
1962	5	12
1962	6	8
1962	7	16
1962	8	20
1962	9	7
1962	10	15
1962	11	7
1962	12	7
1963	1	25
1963	2	11
1963	3	5
1963	4	7
1963	5	11
1963	6	12
1963	7	7
1963	8	7
1963	9	8
1963	10	3
1963	11	5
1963	12	3
1964	1	8
1964	2	5
1964	3	2
1964	4	8
1964	5	6
1964	6	3
1964	7	2
1964	8	1
1964	9	4
1964	10	3
1964	11	1
1964	12	2
1965	1	9
1965	2	5
1965	3	3
1965	4	0
1965	5	3
1965	6	3
1965	7	4
1965	8	0
1965	9	1
1965	10	2
1965	11	3
1965	12	5
1966	1	3
1966	2	0
1966	3	0
1966	4	0
1966	5	0
1966	6	2
1966	7	0
1966	8	0
1966	9	0
1966	10	0
1966	11	0
1966	12	0
1967	1	0
1967	2	0
1967	3	0
1967	4	0
1967	5	0
1967	6	0
1967	7	0
1967	8	0
1967	9	0
1967	10	0
1967	11	0
1967	12	0
1968	1	2
1968	2	2
1968	3	0
1968	4	0
1968	5	1
1968	6	1
1968	7	0
1968	8	0
1968	9	0
1968	10	0
1968	11	1
1968	12	0
1969	1	0
1969	2	0
1969	3	1
1969	4	0
1969	5	0
1969	6	1
1969	7	2
1969	8	0
1969	9	1
1969	10	2
1969	11	1
1969	12	1
1970	1	1
1970	2	0
1970	3	2
1970	4	1
1970	5	0
1970	6	2
1970	7	1
1970	8	0
1970	9	0
1970	10	0
1970	11	0
1970	12	0
1971	1	0
1971	2	0
1971	3	0
1971	4	0
1971	5	0
1971	6	2
1971	7	0
1971	8	0
1971	9	0
1971	10	0
1971	11	0
1971	12	0
1972	1	0
1972	2	2
1972	3	1
1972	4	1
1972	5	1
1972	6	0
1972	7	0
1972	8	0
1972	9	0
1972	10	0
1972	11	0
1972	12	0
1973	1	2
1973	2	1
1973	3	0
1973	4	2
1973	5	0
1973	6	0
1973	7	0
1973	8	0
1973	9	1
1973	10	1
1973	11	0
1973	12	0
1974	1	3
1974	2	0
1974	3	0
1974	4	0
1974	5	3
1974	6	0
1974	7	1
1974	8	2
1974	9	1
1974	10	0
1974	11	0
1974	12	0
1975	1	0
1975	2	1
1975	3	1
1975	4	0
1975	5	1
1975	6	1
1975	7	0
1975	8	0
1975	9	0
1975	10	0
1975	11	1
1975	12	0
1976	1	0
1976	2	0
1976	3	1
1976	4	0
1976	5	1
1976	6	0
1976	7	3
1976	8	0
1976	9	0
1976	10	1
1976	11	0
1976	12	0
1977	1	1
1977	2	0
1977	3	0
1977	4	0
1977	5	1
1977	6	1
1977	7	0
1977	8	1
1977	9	0
1977	10	1
1977	11	1
1977	12	0
1978	1	2
1978	2	7
1978	3	0
1978	4	0
1978	5	4
1978	6	1
1978	7	0
1978	8	0
1978	9	0
1978	10	1
1978	11	0
1978	12	0
1979	1	0
1979	2	2
1979	3	1
1979	4	2
1979	5	1
1979	6	4
1979	7	3
1979	8	0
1979	9	1
1979	10	4
1979	11	2
1979	12	2
1980	1	3
1980	2	4
1980	3	1
1980	4	0
1980	5	2
1980	6	1
1980	7	4
1980	8	1
1980	9	0
1980	10	0
1980	11	1
1980	12	2
1981	1	1
1981	2	1
1981	3	2
1981	4	3
1981	5	3
1981	6	3
1981	7	5
1981	8	0
1981	9	0
1981	10	1
1981	11	1
1981	12	3
1982	1	4
1982	2	5
1982	3	4
1982	4	2
1982	5	5
1982	6	0
1982	7	2
1982	8	16
1982	9	2
1982	10	9
1982	11	1
1982	12	2
1983	1	0
1983	2	2
