Año	Mes	CaseCount
1958	1	2
1958	2	1
1958	3	1
1958	4	0
1958	5	1
1958	6	0
1958	7	3
1958	8	1
1958	9	1
1958	10	0
1958	11	0
1958	12	1
1959	1	0
1959	2	0
1959	3	0
1959	4	3
1959	5	4
1959	6	0
1959	7	1
1959	8	3
1959	9	0
1959	10	2
1959	11	0
1959	12	0
1960	1	0
1960	2	0
1960	3	0
1960	4	0
1960	5	2
1960	6	1
1960	7	5
1960	8	1
1960	9	1
1960	10	1
1960	11	0
1960	12	0
1961	1	0
1961	2	1
1961	3	1
1961	4	1
1961	5	2
1961	6	2
1961	7	0
1961	8	2
1961	9	5
1961	10	1
1961	11	3
1961	12	2
1962	1	2
1962	2	0
1962	3	2
1962	4	2
1962	5	1
1962	6	1
1962	7	1
1962	8	0
1962	9	2
1962	10	1
1962	11	0
1962	12	0
1963	1	1
1963	2	2
1963	3	0
1963	4	5
1963	5	1
1963	6	0
1963	7	2
1963	8	1
1963	9	8
1963	10	0
1963	11	0
1963	12	2
1964	1	2
1964	2	0
1964	3	0
1964	4	0
1964	5	1
1964	6	0
1964	7	0
1964	8	0
1964	9	0
1964	10	1
1964	11	2
1964	12	1
1965	1	5
1965	2	1
1965	3	2
1965	4	3
1965	5	0
1965	6	0
1965	7	1
1965	8	4
1965	9	0
1965	10	0
1965	11	1
1965	12	1
1966	1	0
1966	2	2
1966	3	1
1966	4	2
1966	5	1
1966	6	1
1966	7	1
1966	8	3
1966	9	1
1966	10	0
1966	11	0
1966	12	0
1967	1	0
1967	2	1
1967	3	5
1967	4	0
1967	5	0
1967	6	0
1967	7	0
1967	8	0
1967	9	0
1967	10	0
1967	11	0
1967	12	0
1968	1	2
1968	2	1
1968	3	0
1968	4	1
1968	5	3
1968	6	4
1968	7	1
1968	8	0
1968	9	3
1968	10	7
1968	11	4
1968	12	0
1969	1	1
1969	2	3
1969	3	2
1969	4	0
1969	5	1
1969	6	1
1969	7	1
1969	8	4
1969	9	2
1969	10	0
1969	11	1
1969	12	1
1970	1	0
1970	2	1
1970	3	2
1970	4	2
1970	5	1
1970	6	3
1970	7	1
1970	8	0
1970	9	1
1970	10	1
1970	11	0
1970	12	0
1971	1	1
1971	2	4
1971	3	1
1971	4	3
1971	5	1
1971	6	0
1971	7	1
1971	8	5
1971	9	2
1971	10	7
1971	11	2
1971	12	0
1972	1	9
1972	2	2
1972	3	6
1972	4	2
1972	5	1
1972	6	2
1972	7	0
1972	8	0
1972	9	3
1972	10	0
1972	11	0
1972	12	0
1973	1	0
1973	2	1
1973	3	0
1973	4	1
1973	5	1
1973	6	0
1973	7	0
1973	8	0
1973	9	1
1973	10	0
1973	11	2
1973	12	1
1974	1	0
1974	2	1
1974	3	0
1974	4	1
1974	5	0
1974	6	4
1974	7	1
1974	8	1
1974	9	3
1974	10	4
1974	11	0
1974	12	0
1975	1	3
1975	2	2
1975	3	3
1975	4	3
1975	5	0
1975	6	8
1975	7	3
1975	8	3
1975	9	3
1975	10	3
1975	11	5
1975	12	1
1976	1	1
1976	2	2
1976	3	3
1976	4	0
1976	5	9
1976	6	5
1976	7	7
1976	8	3
1976	9	1
1976	10	3
1976	11	2
1976	12	3
1977	1	1
1977	2	2
1977	3	4
1977	4	4
1977	5	2
1977	6	3
1977	7	0
1977	8	2
1977	9	5
1977	10	10
1977	11	1
1977	12	2
1978	1	8
1978	2	6
1978	3	2
1978	4	4
1978	5	3
1978	6	3
1978	7	4
1978	8	2
1978	9	2
1978	10	3
1978	11	6
1978	12	2
1979	1	11
1979	2	6
1979	3	8
1979	4	9
1979	5	4
1979	6	3
1979	7	4
1979	8	3
1979	9	4
1979	10	8
1979	11	3
1979	12	5
1980	1	9
1980	2	1
1980	3	3
1980	4	4
1980	5	2
1980	6	1
1980	7	3
1980	8	2
1980	9	4
1980	10	4
1980	11	4
1980	12	2
1981	1	17
1981	2	7
1981	3	6
1981	4	12
1981	5	10
1981	6	4
1981	7	3
1981	8	8
1981	9	3
1981	10	9
1981	11	10
1981	12	11
1982	1	19
1982	2	11
1982	3	16
1982	4	8
1982	5	11
1982	6	16
1982	7	15
1982	8	18
1982	9	19
1982	10	15
1982	11	7
1982	12	11
1983	1	26
1983	2	32
1983	3	15
1983	4	30
1983	5	27
1983	6	24
1983	7	44
1983	8	27
1983	9	15
1983	10	16
1983	11	16
1983	12	20
1984	1	39
1984	2	29
1984	3	23
1984	4	24
1984	5	25
1984	6	13
1984	7	12
1984	8	32
1984	9	13
1984	10	21
1984	11	13
1984	12	18
1985	1	46
1985	2	21
1985	3	20
1985	4	34
1985	5	33
1985	6	33
1985	7	25
1985	8	16
1985	9	13
1985	10	13
1985	11	25
1985	12	23
1986	1	66
1986	2	30
1986	3	33
1986	4	33
1986	5	28
1986	6	39
1986	7	25
1986	8	39
1986	9	49
1986	10	30
1986	11	43
1986	12	39
1987	1	51
1987	2	45
1987	3	40
1987	4	47
1987	5	43
1987	6	34
1987	7	45
1987	8	57
1987	9	42
1987	10	55
1987	11	48
1987	12	44
1988	1	105
1988	2	89
1988	3	42
1988	4	67
1988	5	66
1988	6	68
1988	7	79
1988	8	71
1988	9	57
1988	10	97
1988	11	73
1988	12	82
1989	1	90
1989	2	59
1989	3	50
1989	4	61
1989	5	55
1989	6	63
1989	7	71
1989	8	63
1989	9	41
1989	10	45
1989	11	48
1989	12	54
1990	1	115
1990	2	83
1990	3	58
1990	4	63
1990	5	46
1990	6	39
1990	7	80
1990	8	56
1990	9	92
1990	10	75
1990	11	68
1990	12	64
1991	1	109
1991	2	107
1991	3	112
1991	4	65
1991	5	81
1991	6	94
1991	7	78
1991	8	75
1991	9	66
1991	10	73
1991	11	60
1991	12	59
1992	1	116
1992	2	98
1992	3	70
1992	4	62
1992	5	105
1992	6	98
1992	7	82
1992	8	73
1992	9	64
1992	10	75
1992	11	111
1992	12	80
1993	1	97
1993	2	74
1993	3	91
1993	4	72
1993	5	61
1993	6	46
1993	7	60
1993	8	54
1993	9	60
1993	10	44
1993	11	67
1993	12	68
1994	1	82
1994	2	54
1994	3	57
1994	4	57
1994	5	75
1994	6	93
1994	7	84
1994	8	68
1994	9	48
1994	10	64
1994	11	56
1994	12	70
1995	1	90
1995	2	61
1995	3	66
1995	4	71
1995	5	78
1995	6	46
1995	7	57
1995	8	63
1995	9	90
1995	10	66
1995	11	66
1995	12	63
1996	1	82
1996	2	47
1996	3	61
1996	4	61
1996	5	89
1996	6	53
1996	7	56
1996	8	59
1996	9	79
1996	10	79
1996	11	75
1996	12	61
1997	1	67
1997	2	64
1997	3	81
1997	4	78
1997	5	77
1997	6	74
1997	7	93
1997	8	162
1997	9	86
1997	10	96
1997	11	100
1997	12	71
1998	1	115
1998	2	79
1998	3	98
1998	4	94
1998	5	106
1998	6	89
1998	7	98
1998	8	117
1998	9	106
1998	10	122
1998	11	102
1998	12	92
1999	1	115
1999	2	83
1999	3	95
1999	4	76
1999	5	80
1999	6	108
1999	7	96
1999	8	97
1999	9	121
1999	10	135
1999	11	83
1999	12	90
2000	1	152
2000	2	128
2000	3	147
2000	4	146
2000	5	122
2000	6	179
2000	7	157
2000	8	139
2000	9	132
2000	10	128
2000	11	154
2000	12	117
2001	1	242
2001	2	146
2001	3	193
2001	4	132
2001	5	119
2001	6	137
2001	7	126
2001	8	137
2001	9	86
2001	10	120
2001	11	107
2001	12	117
2002	1	150
2002	2	115
2002	3	105
2002	4	114
2002	5	107
2002	6	123
2002	7	95
2002	8	112
2002	9	102
2002	10	126
2002	11	117
2002	12	78
2003	1	128
2003	2	79
2003	3	72
2003	4	83
2003	5	106
2003	6	111
2003	7	100
2003	8	107
2003	9	85
2003	10	74
2003	11	84
2003	12	116
2004	1	97
2004	2	73
2004	3	91
2004	4	59
2004	5	81
2004	6	82
2004	7	61
2004	8	59
2004	9	66
2004	10	50
2004	11	85
2004	12	71
2005	1	69
2005	2	65
2005	3	42
2005	4	63
2005	5	76
2005	6	56
2005	7	47
2005	8	61
2005	9	36
2005	10	46
2005	11	60
2005	12	49
2006	1	41
2006	2	39
2006	3	32
2006	4	27
2006	5	24
2006	6	39
2006	7	27
2006	8	31
2006	9	33
2006	10	43
2006	11	32
2006	12	29
2007	1	32
2007	2	30
2007	3	42
2007	4	22
2007	5	24
2007	6	42
2007	7	29
2007	8	25
2007	9	27
2007	10	20
2007	11	30
2007	12	28
2008	1	44
2008	2	22
2008	3	29
2008	4	31
2008	5	16
2008	6	17
2008	7	31
2008	8	22
2008	9	18
2008	10	35
2008	11	21
2008	12	21
2009	1	24
2009	2	22
2009	3	31
2009	4	24
2009	5	30
2009	6	22
2009	7	34
2009	8	30
2009	9	23
2009	10	42
2009	11	19
2009	12	6
2010	1	17
2010	2	15
2010	3	14
2010	4	11
2010	5	9
2010	6	14
2010	7	16
2010	8	11
2010	9	17
2010	10	14
2010	11	8
2010	12	13
2011	1	3
2011	2	6
2011	3	5
2011	4	5
2011	5	11
2011	6	7
2011	7	13
2011	8	9
2011	9	8
2011	10	8
2011	11	4
2011	12	6
2012	1	12
2012	2	8
2012	3	16
2012	4	5
2012	5	14
2012	6	6
2012	7	8
2012	8	4
2012	9	5
2012	10	10
2012	11	11
2012	12	5
2013	1	8
2013	2	1
2013	3	8
2013	4	8
2013	5	8
2013	6	5
2013	7	10
2013	8	8
2013	9	18
2013	10	12
2013	11	12
2013	12	9
2014	1	6
2014	2	10
2014	3	7
2014	4	10
2014	5	14
2014	6	6
2014	7	15
2014	8	6
2014	9	8
2014	10	7
2014	11	11
2014	12	8
2015	1	6
2015	2	6
2015	3	9
2015	4	11
2015	5	9
2015	6	4
2015	7	16
2015	8	8
2015	9	4
2015	10	5
2015	11	9
2015	12	7
2016	1	13
2016	2	2
2016	3	2
2016	4	2
2016	5	5
2016	6	4
2016	7	4
2016	8	9
2016	9	6
2016	10	4
2016	11	8
2016	12	11
2017	1	8
2017	2	12
2017	3	10
2017	4	17
2017	5	12
2017	6	12
2017	7	10
2017	8	15
2017	9	10
2017	10	4
2017	11	6
2017	12	4
2018	1	18
2018	2	16
2018	3	9
2018	4	7
2018	5	5
2018	6	5
2018	7	5
2018	8	9
2018	9	0
2018	10	3
2018	11	9
2018	12	3
2019	1	6
2019	2	9
2019	3	10
2019	4	7
2019	5	12
2019	6	15
2019	7	10
2019	8	5
2019	9	5
2019	10	9
2019	11	2
2019	12	2
2020	1	4
2020	2	3
2020	3	3
2020	4	1
2020	5	1
2020	6	2
