Año	Mes	violence type	VictimsCount
1958	1	VI	0
1958	1	VS	179
1958	2	VI	0
1958	2	VS	115
1958	3	VI	0
1958	3	VS	84
1958	4	VI	0
1958	4	VS	110
1958	5	VI	27
1958	5	VS	115
1958	6	VI	0
1958	6	VS	170
1958	7	VI	0
1958	7	VS	187
1958	8	VI	0
1958	8	VS	89
1958	9	VI	0
1958	9	VS	35
1958	10	VI	0
1958	10	VS	35
1958	11	VI	0
1958	11	VS	44
1958	12	VI	0
1958	12	VS	20
1959	1	VI	0
1959	1	VS	27
1959	2	VI	0
1959	2	VS	34
1959	3	VI	0
1959	3	VS	83
1959	4	VI	0
1959	4	VS	63
1959	5	VI	0
1959	5	VS	108
1959	6	VI	0
1959	6	VS	114
1959	7	VI	0
1959	7	VS	68
1959	8	VI	0
1959	8	VS	60
1959	9	VI	0
1959	9	VS	47
1959	10	VI	0
1959	10	VS	52
1959	11	VI	0
1959	11	VS	66
1959	12	VI	0
1959	12	VS	57
1960	1	VI	0
1960	1	VS	107
1960	2	VI	0
1960	2	VS	19
1960	3	VI	0
1960	3	VS	19
1960	4	VI	0
1960	4	VS	62
1960	5	VI	0
1960	5	VS	61
1960	6	VI	0
1960	6	VS	42
1960	7	VI	0
1960	7	VS	118
1960	8	VI	0
1960	8	VS	133
1960	9	VI	0
1960	9	VS	72
1960	10	VI	0
1960	10	VS	43
1960	11	VI	0
1960	11	VS	25
1960	12	VI	0
1960	12	VS	21
1961	1	VI	0
1961	1	VS	93
1961	2	VI	0
1961	2	VS	43
1961	3	VI	0
1961	3	VS	53
1961	4	VI	0
1961	4	VS	131
1961	5	VI	0
1961	5	VS	52
1961	6	VI	0
1961	6	VS	36
1961	7	VI	0
1961	7	VS	61
1961	8	VI	0
1961	8	VS	60
1961	9	VI	0
1961	9	VS	36
1961	10	VI	0
1961	10	VS	54
1961	11	VI	0
1961	11	VS	41
1961	12	VI	0
1961	12	VS	64
1962	1	VI	0
1962	1	VS	106
1962	2	VI	0
1962	2	VS	142
1962	3	VI	0
1962	3	VS	81
1962	4	VI	0
1962	4	VS	24
1962	5	VI	0
1962	5	VS	39
1962	6	VI	0
1962	6	VS	49
1962	7	VI	0
1962	7	VS	105
1962	8	VI	0
1962	8	VS	128
1962	9	VI	1
1962	9	VS	44
1962	10	VI	3
1962	10	VS	79
1962	11	VI	0
1962	11	VS	98
1962	12	VI	0
1962	12	VS	38
1963	1	VI	0
1963	1	VS	108
1963	2	VI	0
1963	2	VS	133
1963	3	VI	3
1963	3	VS	117
1963	4	VI	3
1963	4	VS	35
1963	5	VI	0
1963	5	VS	53
1963	6	VI	8
1963	6	VS	74
1963	7	VI	0
1963	7	VS	93
1963	8	VI	1
1963	8	VS	94
1963	9	VI	0
1963	9	VS	65
1963	10	VI	0
1963	10	VS	19
1963	11	VI	0
1963	11	VS	21
1963	12	VI	0
1963	12	VS	36
1964	1	VI	0
1964	1	VS	37
1964	2	VI	0
1964	2	VS	21
1964	3	VI	0
1964	3	VS	19
1964	4	VI	0
1964	4	VS	12
1964	5	VI	0
1964	5	VS	21
1964	6	VI	5
1964	6	VS	11
1964	7	VI	0
1964	7	VS	18
1964	8	VI	0
1964	8	VS	6
1964	9	VI	0
1964	9	VS	3
1964	10	VI	0
1964	10	VS	3
1964	11	VI	0
1964	11	VS	7
1964	12	VI	0
1964	12	VS	16
1965	1	VI	0
1965	1	VS	41
1965	2	VI	0
1965	2	VS	20
1965	3	VI	0
1965	3	VS	48
1965	4	VI	0
1965	4	VS	31
1965	5	VI	0
1965	5	VS	24
1965	6	VI	0
1965	6	VS	11
1965	7	VI	1
1965	7	VS	38
1965	8	VI	0
1965	8	VS	4
1965	9	VI	0
1965	9	VS	8
1965	10	VI	0
1965	10	VS	8
1965	11	VI	0
1965	11	VS	30
1965	12	VI	0
1965	12	VS	2
1966	1	VI	0
1966	1	VS	23
1966	2	VI	0
1966	2	VS	3
1966	3	VI	0
1966	3	VS	0
1966	4	VI	0
1966	4	VS	4
1966	5	VI	0
1966	5	VS	6
1966	6	VI	0
1966	6	VS	1
1966	7	VI	0
1966	7	VS	6
1966	8	VI	0
1966	8	VS	2
1966	9	VI	0
1966	9	VS	1
1966	10	VI	0
1966	10	VS	2
1966	11	VI	0
1966	11	VS	1
1966	12	VI	0
1966	12	VS	0
1967	1	VI	0
1967	1	VS	0
1967	2	VI	0
1967	2	VS	0
1967	3	VI	0
1967	3	VS	5
1967	4	VI	0
1967	4	VS	0
1967	5	VI	0
1967	5	VS	0
1967	6	VI	0
1967	6	VS	0
1967	7	VI	0
1967	7	VS	1
1967	8	VI	0
1967	8	VS	0
1967	9	VI	0
1967	9	VS	0
1967	10	VI	0
1967	10	VS	0
1967	11	VI	0
1967	11	VS	0
1967	12	VI	0
1967	12	VS	1
1968	1	VI	0
1968	1	VS	9
