Año	Mes	CaseCount
1958	1	8
1958	2	7
1958	3	2
1958	4	0
1958	5	4
1958	6	2
1958	7	2
1958	8	0
1958	9	0
1958	10	0
1958	11	1
1958	12	4
1959	1	0
1959	2	0
1959	3	1
1959	4	0
1959	5	3
1959	6	0
1959	7	7
1959	8	11
1959	9	1
1959	10	0
1959	11	8
1959	12	0
1960	1	2
1960	2	6
1960	3	0
1960	4	2
1960	5	5
1960	6	6
1960	7	6
1960	8	7
1960	9	23
1960	10	22
1960	11	2
1960	12	3
1961	1	4
1961	2	4
1961	3	15
1961	4	11
1961	5	9
1961	6	14
1961	7	14
1961	8	3
1961	9	5
1961	10	13
1961	11	15
1961	12	6
1962	1	4
1962	2	2
1962	3	3
1962	4	8
1962	5	0
1962	6	2
1962	7	13
1962	8	12
1962	9	10
1962	10	6
1962	11	0
1962	12	9
1963	1	4
1963	2	6
1963	3	1
1963	4	5
1963	5	4
1963	6	2
1963	7	3
1963	8	0
1963	9	14
1963	10	0
1963	11	1
1963	12	0
1964	1	34
1964	2	0
1964	3	0
1964	4	0
1964	5	6
1964	6	1
1964	7	1
1964	8	0
1964	9	0
1964	10	0
1964	11	0
1964	12	0
1965	1	15
1965	2	12
1965	3	7
1965	4	0
1965	5	0
1965	6	0
1965	7	1
1965	8	9
1965	9	1
1965	10	0
1965	11	3
1965	12	2
1966	1	4
1966	2	10
1966	3	2
1966	4	2
1966	5	0
1966	6	1
1966	7	4
1966	8	0
1966	9	0
1966	10	0
1966	11	0
1966	12	0
1967	1	0
1967	2	4
1967	3	28
1967	4	0
1967	5	0
1967	6	6
1967	7	0
1967	8	0
1967	9	0
1967	10	0
1967	11	0
1967	12	1
1968	1	12
1968	2	2
1968	3	11
1968	4	1
1968	5	4
1968	6	2
1968	7	2
1968	8	5
1968	9	11
1968	10	5
1968	11	10
1968	12	2
1969	1	0
1969	2	7
1969	3	11
1969	4	1
1969	5	2
1969	6	2
1969	7	9
1969	8	11
1969	9	13
1969	10	0
1969	11	6
1969	12	0
1970	1	1
1970	2	2
1970	3	2
1970	4	2
1970	5	2
1970	6	5
1970	7	4
1970	8	0
1970	9	5
1970	10	0
1970	11	0
1970	12	0
1971	1	11
1971	2	15
1971	3	4
1971	4	2
1971	5	2
1971	6	0
1971	7	3
1971	8	4
1971	9	0
1971	10	5
1971	11	9
1971	12	1
1972	1	4
1972	2	1
1972	3	0
1972	4	2
1972	5	1
1972	6	2
1972	7	0
1972	8	0
1972	9	5
1972	10	1
1972	11	0
1972	12	0
1973	1	2
1973	2	2
1973	3	0
1973	4	5
1973	5	0
1973	6	1
1973	7	0
1973	8	1
1973	9	1
1973	10	0
1973	11	1
1973	12	4
1974	1	0
1974	2	0
1974	3	0
1974	4	2
1974	5	0
1974	6	22
1974	7	5
1974	8	8
1974	9	1
1974	10	6
1974	11	0
1974	12	0
1975	1	2
1975	2	1
1975	3	0
1975	4	4
1975	5	0
1975	6	0
1975	7	0
1975	8	3
1975	9	6
1975	10	1
1975	11	6
1975	12	1
1976	1	1
1976	2	0
1976	3	2
1976	4	0
1976	5	7
1976	6	2
1976	7	12
1976	8	2
1976	9	0
1976	10	3
1976	11	0
1976	12	0
1977	1	1
1977	2	0
1977	3	6
1977	4	0
1977	5	0
1977	6	5
1977	7	0
1977	8	14
1977	9	5
1977	10	7
1977	11	2
1977	12	6
1978	1	3
1978	2	23
1978	3	3
1978	4	2
1978	5	2
1978	6	3
1978	7	5
1978	8	12
1978	9	6
1978	10	6
1978	11	3
1978	12	9
1979	1	8
1979	2	4
1979	3	20
1979	4	7
1979	5	3
1979	6	15
1979	7	0
1979	8	11
1979	9	4
1979	10	1
1979	11	2
1979	12	2
1980	1	6
1980	2	0
1980	3	1
1980	4	3
1980	5	5
1980	6	0
1980	7	3
1980	8	5
1980	9	7
1980	10	2
1980	11	2
1980	12	5
1981	1	25
1981	2	7
1981	3	19
1981	4	15
1981	5	21
1981	6	11
1981	7	3
1981	8	3
1981	9	3
1981	10	21
1981	11	7
1981	12	17
1982	1	8
1982	2	1
1982	3	6
1982	4	5
1982	5	3
1982	6	11
1982	7	16
1982	8	15
1982	9	14
1982	10	18
1982	11	9
1982	12	13
1983	1	20
1983	2	46
1983	3	6
1983	4	18
1983	5	41
1983	6	27
1983	7	78
1983	8	27
1983	9	6
1983	10	9
1983	11	3
1983	12	2
1984	1	24
1984	2	31
1984	3	14
1984	4	11
1984	5	20
1984	6	5
1984	7	17
1984	8	30
1984	9	14
1984	10	22
1984	11	9
1984	12	30
1985	1	27
1985	2	20
1985	3	13
1985	4	26
1985	5	19
1985	6	22
1985	7	40
1985	8	16
1985	9	7
1985	10	4
1985	11	16
1985	12	14
1986	1	15
1986	2	10
1986	3	34
1986	4	23
1986	5	16
1986	6	41
1986	7	14
1986	8	49
1986	9	33
1986	10	58
1986	11	30
1986	12	28
1987	1	81
1987	2	55
1987	3	42
1987	4	55
1987	5	26
1987	6	19
1987	7	52
1987	8	45
1987	9	34
1987	10	34
1987	11	26
1987	12	27
1988	1	67
1988	2	106
1988	3	37
1988	4	67
1988	5	75
1988	6	74
1988	7	86
1988	8	67
1988	9	59
1988	10	82
1988	11	61
1988	12	67
1989	1	99
1989	2	62
1989	3	40
1989	4	63
1989	5	65
1989	6	41
1989	7	53
1989	8	55
1989	9	31
1989	10	46
1989	11	54
1989	12	66
1990	1	50
1990	2	63
1990	3	48
1990	4	36
1990	5	33
1990	6	51
1990	7	80
1990	8	59
1990	9	56
1990	10	49
1990	11	37
1990	12	51
1991	1	73
1991	2	63
1991	3	109
1991	4	52
1991	5	49
1991	6	65
1991	7	42
1991	8	70
1991	9	43
1991	10	67
1991	11	43
1991	12	45
1992	1	66
1992	2	64
1992	3	44
1992	4	59
1992	5	90
1992	6	76
1992	7	78
1992	8	48
1992	9	59
1992	10	86
1992	11	73
1992	12	68
1993	1	43
1993	2	77
1993	3	53
1993	4	46
1993	5	28
1993	6	25
1993	7	44
1993	8	35
1993	9	49
1993	10	37
1993	11	43
1993	12	49
1994	1	34
1994	2	27
1994	3	33
1994	4	36
1994	5	37
1994	6	39
1994	7	77
1994	8	32
1994	9	34
1994	10	50
1994	11	35
1994	12	40
1995	1	45
1995	2	34
1995	3	37
1995	4	43
1995	5	29
1995	6	16
1995	7	43
1995	8	36
1995	9	52
1995	10	48
1995	11	42
1995	12	23
1996	1	27
1996	2	30
1996	3	23
1996	4	36
1996	5	41
1996	6	29
1996	7	26
1996	8	53
1996	9	28
1996	10	28
1996	11	25
1996	12	35
1997	1	33
1997	2	31
1997	3	36
1997	4	38
1997	5	57
1997	6	47
1997	7	55
1997	8	49
1997	9	72
1997	10	43
1997	11	42
1997	12	44
1998	1	40
1998	2	50
1998	3	57
1998	4	42
1998	5	77
1998	6	51
1998	7	54
1998	8	78
1998	9	86
1998	10	100
1998	11	71
1998	12	40
1999	1	71
1999	2	39
1999	3	50
1999	4	82
1999	5	55
1999	6	80
1999	7	65
1999	8	60
1999	9	77
1999	10	89
1999	11	60
1999	12	51
2000	1	133
2000	2	57
2000	3	65
2000	4	68
2000	5	56
2000	6	99
2000	7	107
2000	8	117
2000	9	90
2000	10	58
2000	11	175
2000	12	107
2001	1	155
2001	2	103
2001	3	100
2001	4	161
2001	5	98
2001	6	75
2001	7	84
2001	8	89
2001	9	55
2001	10	92
2001	11	65
2001	12	146
2002	1	83
2002	2	48
2002	3	132
2002	4	85
2002	5	65
2002	6	82
2002	7	76
2002	8	86
2002	9	71
2002	10	73
2002	11	88
2002	12	78
2003	1	68
2003	2	45
2003	3	66
2003	4	74
2003	5	61
2003	6	53
2003	7	60
2003	8	45
2003	9	59
2003	10	52
2003	11	52
2003	12	61
2004	1	57
2004	2	33
2004	3	46
2004	4	37
2004	5	28
2004	6	39
2004	7	21
2004	8	22
2004	9	25
2004	10	25
2004	11	30
2004	12	41
