Año	Mes	CaseCount
1958	1	104
1958	2	44
1958	3	32
1958	4	51
1958	5	67
1958	6	143
1958	7	111
1958	8	105
1958	9	10
1958	10	21
1958	11	15
1958	12	2
1959	1	10
1959	2	0
1959	3	12
1959	4	23
1959	5	83
1959	6	56
1959	7	23
1959	8	25
1959	9	31
1959	10	19
1959	11	38
1959	12	50
1960	1	43
1960	2	2
1960	3	1
1960	4	2
1960	5	18
1960	6	5
1960	7	27
1960	8	26
1960	9	26
1960	10	0
1960	11	5
1960	12	8
1961	1	12
1961	2	7
1961	3	15
1961	4	36
1961	5	14
1961	6	3
1961	7	22
1961	8	7
1961	9	3
1961	10	9
1961	11	1
1961	12	33
1962	1	30
1962	2	48
1962	3	9
1962	4	60
1962	5	1
1962	6	2
1962	7	67
1962	8	34
1962	9	34
1962	10	56
1962	11	14
1962	12	20
1963	1	53
1963	2	34
1963	3	109
1963	4	19
1963	5	17
1963	6	44
1963	7	75
1963	8	12
1963	9	26
1963	10	17
1963	11	15
1963	12	36
1964	1	13
1964	2	15
1964	3	18
1964	4	28
1964	5	6
1964	6	33
1964	7	16
1964	8	22
1964	9	5
1964	10	28
1964	11	0
1964	12	0
1965	1	5
1965	2	5
1965	3	7
1965	4	3
1965	5	7
1965	6	14
1965	7	32
1965	8	1
1965	9	22
1965	10	40
1965	11	11
1965	12	31
1966	1	16
1966	2	7
1966	3	3
1966	4	13
1966	5	1
1966	6	0
1966	7	9
1966	8	7
1966	9	4
1966	10	2
1966	11	0
1966	12	0
1967	1	0
1967	2	0
1967	3	0
1967	4	0
1967	5	0
1967	6	0
1967	7	0
1967	8	0
1967	9	0
1967	10	0
1967	11	0
1967	12	0
1968	1	0
1968	2	2
1968	3	0
1968	4	0
1968	5	0
1968	6	0
1968	7	0
1968	8	0
1968	9	0
1968	10	0
1968	11	0
1968	12	0
1969	1	0
1969	2	2
1969	3	6
1969	4	1
1969	5	0
1969	6	0
1969	7	1
1969	8	0
1969	9	0
1969	10	0
1969	11	0
1969	12	0
1970	1	0
1970	2	7
1970	3	0
1970	4	0
1970	5	0
1970	6	0
1970	7	0
1970	8	4
1970	9	0
1970	10	0
1970	11	0
1970	12	0
1971	1	0
1971	2	0
1971	3	0
1971	4	0
1971	5	0
1971	6	0
1971	7	0
1971	8	0
1971	9	12
1971	10	0
1971	11	0
1971	12	0
1972	1	2
1972	2	1
1972	3	0
1972	4	6
1972	5	0
1972	6	3
1972	7	1
1972	8	0
1972	9	3
1972	10	0
1972	11	6
1972	12	0
1973	1	0
1973	2	0
1973	3	0
1973	4	0
1973	5	0
1973	6	0
1973	7	0
1973	8	0
1973	9	0
1973	10	12
1973	11	0
1973	12	5
1974	1	0
1974	2	0
1974	3	0
1974	4	1
1974	5	1
1974	6	0
1974	7	0
1974	8	0
1974	9	0
1974	10	1
1974	11	0
1974	12	0
1975	1	0
1975	2	1
1975	3	5
1975	4	0
1975	5	0
1975	6	0
1975	7	0
1975	8	1
1975	9	0
1975	10	1
1975	11	0
1975	12	0
1976	1	0
1976	2	0
1976	3	0
1976	4	0
1976	5	0
1976	6	0
1976	7	0
1976	8	0
1976	9	0
1976	10	0
1976	11	0
1976	12	0
1977	1	0
1977	2	0
1977	3	0
1977	4	0
1977	5	0
1977	6	0
1977	7	0
1977	8	0
1977	9	1
1977	10	0
1977	11	0
1977	12	0
1978	1	1
1978	2	5
1978	3	0
1978	4	0
1978	5	0
1978	6	0
1978	7	0
1978	8	0
1978	9	0
1978	10	1
1978	11	3
1978	12	0
1979	1	0
1979	2	0
1979	3	0
1979	4	0
1979	5	2
1979	6	0
1979	7	0
1979	8	4
1979	9	1
1979	10	0
1979	11	9
1979	12	0
1980	1	0
1980	2	0
1980	3	0
1980	4	0
1980	5	1
1980	6	1
1980	7	1
1980	8	2
1980	9	0
1980	10	0
1980	11	4
1980	12	0
1981	1	4
1981	2	1
1981	3	3
1981	4	4
1981	5	0
1981	6	0
1981	7	2
1981	8	5
1981	9	0
1981	10	13
1981	11	0
1981	12	0
1982	1	0
1982	2	3
1982	3	0
1982	4	0
1982	5	0
1982	6	2
1982	7	0
1982	8	1
1982	9	0
1982	10	1
1982	11	3
1982	12	1
1983	1	2
1983	2	0
1983	3	1
1983	4	2
1983	5	3
1983	6	0
1983	7	5
1983	8	4
1983	9	2
1983	10	0
1983	11	0
1983	12	0
1984	1	1
1984	2	0
1984	3	2
1984	4	1
1984	5	2
1984	6	0
1984	7	1
1984	8	1
1984	9	1
1984	10	2
1984	11	5
1984	12	1
1985	1	9
1985	2	2
1985	3	4
1985	4	3
1985	5	6
1985	6	6
1985	7	7
1985	8	2
1985	9	8
1985	10	12
1985	11	2
1985	12	5
1986	1	4
1986	2	7
1986	3	2
1986	4	5
1986	5	8
1986	6	10
1986	7	4
1986	8	6
1986	9	7
1986	10	1
1986	11	5
1986	12	14
1987	1	11
1987	2	13
1987	3	4
1987	4	7
1987	5	2
1987	6	12
1987	7	5
1987	8	6
1987	9	16
1987	10	11
1987	11	5
1987	12	14
1988	1	18
1988	2	12
1988	3	8
1988	4	5
1988	5	1
1988	6	9
1988	7	10
1988	8	6
1988	9	11
1988	10	6
1988	11	6
1988	12	8
1989	1	11
1989	2	12
1989	3	17
1989	4	10
1989	5	15
1989	6	6
1989	7	3
1989	8	4
1989	9	3
1989	10	13
1989	11	17
1989	12	5
1990	1	4
1990	2	5
1990	3	6
1990	4	14
1990	5	7
1990	6	12
1990	7	4
1990	8	22
1990	9	8
1990	10	13
1990	11	19
1990	12	17
1991	1	30
1991	2	21
1991	3	27
1991	4	22
1991	5	11
1991	6	6
1991	7	14
1991	8	26
1991	9	19
1991	10	3
1991	11	8
1991	12	19
1992	1	20
1992	2	5
1992	3	12
1992	4	14
1992	5	12
1992	6	2
1992	7	17
1992	8	28
1992	9	11
1992	10	13
1992	11	6
1992	12	20
1993	1	21
1993	2	27
1993	3	28
1993	4	17
1993	5	21
1993	6	9
1993	7	6
1993	8	15
1993	9	13
1993	10	10
1993	11	9
1993	12	37
1994	1	14
1994	2	3
1994	3	8
1994	4	15
1994	5	14
1994	6	8
1994	7	32
1994	8	19
1994	9	9
1994	10	17
1994	11	10
1994	12	13
1995	1	25
1995	2	23
1995	3	10
1995	4	15
1995	5	8
1995	6	7
1995	7	22
1995	8	6
1995	9	8
1995	10	8
1995	11	6
1995	12	17
1996	1	22
1996	2	13
1996	3	9
1996	4	19
1996	5	16
1996	6	20
1996	7	15
1996	8	19
1996	9	21
1996	10	16
1996	11	17
1996	12	18
1997	1	35
1997	2	13
1997	3	20
1997	4	16
1997	5	32
1997	6	28
1997	7	26
1997	8	26
1997	9	35
1997	10	18
1997	11	25
1997	12	30
1998	1	31
1998	2	28
1998	3	36
1998	4	45
1998	5	43
1998	6	14
1998	7	21
1998	8	24
1998	9	28
1998	10	24
1998	11	77
1998	12	25
1999	1	28
1999	2	29
1999	3	21
1999	4	27
1999	5	58
1999	6	27
1999	7	29
1999	8	52
1999	9	31
1999	10	35
1999	11	61
1999	12	41
2000	1	69
2000	2	41
2000	3	31
2000	4	77
2000	5	45
2000	6	43
2000	7	98
2000	8	83
2000	9	48
2000	10	41
2000	11	61
2000	12	37
2001	1	49
2001	2	35
2001	3	60
2001	4	102
2001	5	86
2001	6	88
2001	7	62
2001	8	158
2001	9	71
2001	10	67
2001	11	56
2001	12	74
2002	1	67
2002	2	53
2002	3	67
2002	4	60
2002	5	74
2002	6	45
2002	7	96
2002	8	61
2002	9	79
2002	10	56
2002	11	42
2002	12	29
2003	1	53
2003	2	36
2003	3	45
2003	4	43
2003	5	70
2003	6	45
2003	7	71
2003	8	47
2003	9	35
2003	10	27
2003	11	52
2003	12	45
2004	1	49
2004	2	29
2004	3	28
2004	4	46
2004	5	41
2004	6	30
2004	7	22
2004	8	45
2004	9	48
2004	10	24
2004	11	34
2004	12	29
2005	1	41
2005	2	40
2005	3	25
2005	4	26
2005	5	56
2005	6	24
2005	7	6
2005	8	29
2005	9	23
2005	10	13
2005	11	24
2005	12	30
2006	1	16
2006	2	30
2006	3	16
2006	4	23
2006	5	41
2006	6	25
2006	7	22
2006	8	29
2006	9	19
2006	10	33
2006	11	31
2006	12	29
2007	1	38
2007	2	23
2007	3	36
2007	4	21
2007	5	37
2007	6	30
2007	7	39
2007	8	27
2007	9	15
2007	10	10
2007	11	45
2007	12	12
2008	1	20
2008	2	62
2008	3	28
2008	4	17
2008	5	23
2008	6	35
2008	7	16
2008	8	20
2008	9	6
2008	10	10
2008	11	7
2008	12	8
2009	1	12
2009	2	11
2009	3	14
2009	4	12
2009	5	20
2009	6	17
2009	7	8
2009	8	5
2009	9	18
2009	10	14
2009	11	25
2009	12	25
2010	1	6
2010	2	11
2010	3	10
2010	4	6
2010	5	14
2010	6	11
2010	7	17
2010	8	9
2010	9	7
2010	10	9
2010	11	12
2010	12	6
2011	1	10
2011	2	6
2011	3	13
2011	4	18
2011	5	8
2011	6	9
2011	7	7
2011	8	18
2011	9	13
2011	10	11
2011	11	8
2011	12	11
2012	1	19
2012	2	11
2012	3	5
2012	4	10
2012	5	6
2012	6	6
2012	7	4
2012	8	4
2012	9	18
2012	10	3
2012	11	2
2012	12	5
2013	1	3
2013	2	12
2013	3	8
2013	4	7
2013	5	3
2013	6	7
2013	7	7
2013	8	4
2013	9	4
2013	10	2
2013	11	4
2013	12	7
2014	1	10
2014	2	2
2014	3	4
2014	4	1
2014	5	4
2014	6	6
2014	7	7
2014	8	3
2014	9	7
2014	10	6
2014	11	5
2014	12	3
2015	1	1
2015	2	8
2015	3	6
2015	4	1
2015	5	4
2015	6	3
2015	7	5
2015	8	4
2015	9	1
2015	10	2
2015	11	2
2015	12	0
2016	1	2
2016	2	0
2016	3	0
2016	4	1
2016	5	0
2016	6	6
2016	7	1
2016	8	5
2016	9	1
2016	10	1
2016	11	2
2016	12	1
2017	1	1
2017	2	1
2017	3	1
2017	4	2
2017	5	0
2017	6	0
2017	7	1
2017	8	2
2017	9	1
2017	10	2
2017	11	0
2017	12	0
2018	1	4
2018	2	1
2018	3	0
2018	4	0
2018	5	2
2018	6	1
2018	7	2
2018	8	0
2018	9	0
2018	10	0
2018	11	2
2018	12	0
2019	1	1
2019	2	2
2019	3	1
2019	4	0
2019	5	0
2019	6	8
2019	7	0
2019	8	1
2019	9	0
2019	10	0
2019	11	1
2019	12	0
2020	1	0
2020	2	1
2020	3	1
2020	4	1
2020	5	1
2020	6	0
2020	7	0
2020	8	1
2020	9	0
2020	10	2
2020	11	0
2020	12	0
2021	1	1
2021	2	1
2021	3	0
2021	4	1
2021	5	2
2021	6	0
2021	7	7
2021	8	3
2021	9	0
2021	10	0
2021	11	0
2021	12	0
2022	1	0
2022	2	0
2022	3	0
2022	4	0
2022	5	0
2022	6	1
2022	7	5
2022	8	1
2022	9	0
2022	10	0
2022	11	0
2022	12	2
