Año	Mes	CaseCount
1958	1	14
1958	2	42
1958	3	23
1958	4	22
1958	5	25
1958	6	7
1958	7	41
1958	8	3
1958	9	5
1958	10	1
1958	11	0
1958	12	1
1959	1	4
1959	2	15
1959	3	6
1959	4	10
1959	5	3
1959	6	15
1959	7	7
1959	8	28
1959	9	2
1959	10	3
1959	11	14
1959	12	6
1960	1	37
1960	2	0
1960	3	2
1960	4	12
1960	5	38
1960	6	10
1960	7	25
1960	8	48
1960	9	3
1960	10	0
1960	11	2
1960	12	1
1961	1	16
1961	2	8
1961	3	7
1961	4	23
1961	5	17
1961	6	19
1961	7	1
1961	8	18
1961	9	11
1961	10	7
1961	11	18
1961	12	13
1962	1	58
1962	2	114
1962	3	39
1962	4	11
1962	5	22
1962	6	16
1962	7	34
1962	8	32
1962	9	9
1962	10	38
1962	11	11
1962	12	11
1963	1	50
1963	2	19
1963	3	14
1963	4	15
1963	5	24
1963	6	24
1963	7	23
1963	8	54
1963	9	17
1963	10	3
1963	11	9
1963	12	5
1964	1	11
1964	2	12
1964	3	3
1964	4	12
1964	5	10
1964	6	4
1964	7	3
1964	8	2
1964	9	5
1964	10	3
1964	11	1
1964	12	2
1965	1	19
1965	2	19
1965	3	2
1965	4	0
1965	5	5
1965	6	5
1965	7	5
1965	8	0
1965	9	3
1965	10	3
1965	11	4
1965	12	11
1966	1	7
1966	2	0
1966	3	0
1966	4	0
1966	5	0
1966	6	1
1966	7	0
1966	8	0
1966	9	0
1966	10	0
1966	11	0
1966	12	0
1967	1	0
1967	2	0
1967	3	0
1967	4	0
1967	5	0
1967	6	0
1967	7	0
1967	8	0
1967	9	0
1967	10	0
1967	11	0
1967	12	0
1968	1	0
1968	2	5
1968	3	0
1968	4	0
1968	5	2
1968	6	1
1968	7	0
1968	8	0
1968	9	0
1968	10	0
1968	11	1
1968	12	0
1969	1	0
1969	2	0
1969	3	2
1969	4	0
1969	5	0
1969	6	1
1969	7	2
1969	8	0
1969	9	2
1969	10	4
1969	11	1
1969	12	1
1970	1	2
1970	2	0
1970	3	3
1970	4	0
1970	5	0
1970	6	1
1970	7	1
1970	8	0
1970	9	0
1970	10	0
1970	11	0
1970	12	0
1971	1	0
1971	2	0
1971	3	0
1971	4	0
1971	5	0
1971	6	2
1971	7	0
1971	8	0
1971	9	0
1971	10	0
1971	11	0
1971	12	0
1972	1	0
1972	2	1
1972	3	0
1972	4	2
1972	5	2
1972	6	0
1972	7	0
1972	8	0
1972	9	0
1972	10	0
1972	11	0
1972	12	0
1973	1	2
1973	2	1
1973	3	0
1973	4	8
1973	5	0
1973	6	0
1973	7	0
1973	8	0
1973	9	1
1973	10	1
1973	11	0
1973	12	0
1974	1	3
1974	2	0
1974	3	0
1974	4	0
1974	5	2
1974	6	0
1974	7	1
1974	8	2
1974	9	2
1974	10	0
1974	11	0
1974	12	0
1975	1	0
1975	2	1
1975	3	0
1975	4	0
1975	5	1
1975	6	1
1975	7	0
1975	8	0
1975	9	0
1975	10	0
1975	11	2
1975	12	0
1976	1	0
1976	2	0
1976	3	1
1976	4	0
1976	5	1
1976	6	0
1976	7	0
1976	8	0
1976	9	0
1976	10	0
1976	11	0
1976	12	0
1977	1	1
1977	2	0
1977	3	0
1977	4	0
1977	5	0
1977	6	1
1977	7	0
1977	8	0
1977	9	0
1977	10	0
1977	11	1
1977	12	0
1978	1	0
1978	2	1
1978	3	0
1978	4	0
1978	5	1
1978	6	2
1978	7	0
1978	8	0
1978	9	0
1978	10	0
1978	11	0
1978	12	0
1979	1	0
1979	2	0
1979	3	0
1979	4	1
1979	5	2
1979	6	2
1979	7	3
1979	8	0
1979	9	0
1979	10	4
1979	11	1
1979	12	1
1980	1	1
1980	2	4
1980	3	1
1980	4	0
1980	5	2
1980	6	1
1980	7	4
1980	8	1
1980	9	0
1980	10	0
1980	11	1
1980	12	1
1981	1	0
1981	2	2
1981	3	1
1981	4	2
1981	5	4
1981	6	3
1981	7	7
1981	8	0
1981	9	0
1981	10	1
1981	11	2
1981	12	0
1982	1	1
1982	2	1
1982	3	10
1982	4	2
1982	5	4
1982	6	0
1982	7	1
1982	8	17
1982	9	2
1982	10	11
1982	11	0
1982	12	1
1983	1	0
1983	2	2
1983	3	2
1983	4	0
1983	5	5
1983	6	0
1983	7	2
1983	8	1
1983	9	2
1983	10	2
1983	11	7
1983	12	3
1984	1	1
1984	2	5
1984	3	3
1984	4	2
1984	5	4
1984	6	4
1984	7	3
1984	8	41
1984	9	8
1984	10	52
1984	11	1
1984	12	2
1985	1	3
1985	2	12
1985	3	8
1985	4	12
1985	5	65
1985	6	69
1985	7	57
1985	8	87
1985	9	130
1985	10	107
1985	11	23
1985	12	3
1986	1	41
1986	2	16
1986	3	133
1986	4	25
1986	5	46
1986	6	37
