Año	Mes	CaseCount
1958	1	2
1958	2	1
1958	3	0
1958	4	0
1958	5	3
1958	6	0
1958	7	14
1958	8	2
1958	9	5
1958	10	0
1958	11	0
1958	12	4
1959	1	0
1959	2	0
1959	3	0
1959	4	18
1959	5	19
1959	6	0
1959	7	1
1959	8	6
1959	9	0
1959	10	2
1959	11	0
1959	12	0
1960	1	0
1960	2	0
1960	3	0
1960	4	0
1960	5	4
1960	6	6
1960	7	11
1960	8	2
1960	9	8
1960	10	3
1960	11	0
1960	12	0
1961	1	0
1961	2	2
1961	3	4
1961	4	1
1961	5	4
1961	6	2
1961	7	0
1961	8	6
1961	9	6
1961	10	2
1961	11	9
1961	12	3
1962	1	3
1962	2	0
1962	3	3
1962	4	4
1962	5	1
1962	6	1
1962	7	1
1962	8	0
1962	9	1
1962	10	0
1962	11	0
1962	12	0
1963	1	2
1963	2	2
1963	3	0
1963	4	10
1963	5	3
1963	6	0
1963	7	6
1963	8	1
1963	9	27
1963	10	0
1963	11	0
1963	12	5
1964	1	2
1964	2	0
1964	3	0
1964	4	0
1964	5	1
1964	6	0
1964	7	0
1964	8	0
1964	9	0
1964	10	1
1964	11	7
1964	12	2
1965	1	18
1965	2	4
1965	3	6
1965	4	3
1965	5	0
1965	6	0
1965	7	1
1965	8	10
1965	9	0
1965	10	0
1965	11	3
1965	12	1
1966	1	0
1966	2	9
1966	3	0
1966	4	2
1966	5	0
1966	6	1
1966	7	1
1966	8	0
1966	9	1
1966	10	0
1966	11	0
1966	12	0
1967	1	0
1967	2	4
1967	3	28
1967	4	0
1967	5	0
1967	6	0
1967	7	0
1967	8	0
1967	9	0
1967	10	0
1967	11	0
1967	12	0
1968	1	2
1968	2	16
1968	3	0
1968	4	1
1968	5	2
1968	6	8
1968	7	1
1968	8	0
1968	9	6
1968	10	7
1968	11	3
1968	12	0
1969	1	1
1969	2	4
1969	3	6
1969	4	0
1969	5	2
1969	6	1
1969	7	8
1969	8	12
1969	9	13
1969	10	0
1969	11	1
1969	12	6
1970	1	0
1970	2	1
1970	3	2
1970	4	2
1970	5	1
1970	6	2
1970	7	4
1970	8	0
1970	9	1
1970	10	0
1970	11	0
1970	12	0
1971	1	10
1971	2	10
1971	3	2
1971	4	5
1971	5	2
1971	6	0
1971	7	2
1971	8	6
1971	9	2
1971	10	5
1971	11	8
1971	12	0
1972	1	16
1972	2	1
1972	3	7
1972	4	2
1972	5	1
1972	6	3
1972	7	0
1972	8	0
1972	9	5
1972	10	0
1972	11	0
1972	12	0
1973	1	0
1973	2	2
1973	3	0
1973	4	5
1973	5	0
1973	6	0
1973	7	0
1973	8	0
1973	9	1
1973	10	0
1973	11	2
1973	12	1
1974	1	0
1974	2	3
1974	3	0
1974	4	5
1974	5	0
1974	6	5
1974	7	1
1974	8	4
1974	9	5
1974	10	8
1974	11	0
1974	12	0
1975	1	5
1975	2	7
1975	3	2
1975	4	3
1975	5	0
1975	6	13
1975	7	0
1975	8	2
1975	9	7
1975	10	6
1975	11	6
1975	12	1
1976	1	4
1976	2	2
1976	3	2
1976	4	0
1976	5	20
1976	6	6
1976	7	12
1976	8	2
1976	9	4
1976	10	3
1976	11	6
1976	12	0
1977	1	1
1977	2	4
1977	3	6
1977	4	1
1977	5	4
1977	6	5
1977	7	0
1977	8	4
1977	9	4
1977	10	5
1977	11	2
1977	12	5
1978	1	11
1978	2	21
1978	3	2
1978	4	3
1978	5	3
1978	6	4
1978	7	8
1978	8	21
1978	9	6
1978	10	5
1978	11	1
1978	12	2
1979	1	20
1979	2	7
1979	3	26
1979	4	15
1979	5	7
1979	6	4
1979	7	1
1979	8	1
1979	9	5
1979	10	11
1979	11	4
1979	12	5
1980	1	7
1980	2	0
1980	3	1
1980	4	4
1980	5	2
1980	6	0
1980	7	3
1980	8	5
1980	9	5
1980	10	3
1980	11	2
1980	12	3
1981	1	26
1981	2	7
1981	3	9
1981	4	13
1981	5	12
1981	6	7
1981	7	3
1981	8	7
1981	9	3
1981	10	29
1981	11	12
1981	12	24
1982	1	28
1982	2	11
1982	3	10
1982	4	18
1982	5	23
1982	6	40
1982	7	23
1982	8	21
1982	9	22
1982	10	32
1982	11	8
1982	12	13
1983	1	37
1983	2	57
1983	3	20
1983	4	42
1983	5	57
1983	6	49
1983	7	98
1983	8	43
1983	9	16
1983	10	20
1983	11	17
1983	12	15
1984	1	52
1984	2	44
1984	3	12
1984	4	25
1984	5	43
1984	6	14
1984	7	21
1984	8	28
1984	9	15
1984	10	16
1984	11	9
1984	12	24
1985	1	42
1985	2	20
1985	3	21
1985	4	34
1985	5	37
1985	6	23
1985	7	34
1985	8	15
1985	9	14
1985	10	13
1985	11	27
1985	12	26
1986	1	42
1986	2	24
1986	3	43
1986	4	22
1986	5	19
1986	6	70
1986	7	28
1986	8	35
1986	9	30
1986	10	28
1986	11	31
1986	12	44
1987	1	86
1987	2	49
1987	3	45
1987	4	66
1987	5	41
1987	6	24
1987	7	30
1987	8	44
1987	9	41
1987	10	45
1987	11	50
1987	12	30
1988	1	80
1988	2	118
1988	3	48
1988	4	93
1988	5	63
1988	6	68
1988	7	91
1988	8	73
1988	9	53
1988	10	94
1988	11	72
1988	12	92
1989	1	97
1989	2	49
1989	3	46
1989	4	69
1989	5	63
1989	6	56
1989	7	70
1989	8	47
1989	9	39
1989	10	42
1989	11	46
1989	12	58
1990	1	103
1990	2	111
1990	3	54
1990	4	58
1990	5	39
1990	6	49
1990	7	74
1990	8	57
1990	9	114
1990	10	75
1990	11	83
1990	12	65
1991	1	94
1991	2	92
1991	3	114
1991	4	58
1991	5	83
1991	6	94
1991	7	63
1991	8	106
1991	9	63
1991	10	64
1991	11	52
1991	12	60
1992	1	110
1992	2	94
1992	3	66
1992	4	65
1992	5	93
1992	6	81
1992	7	86
1992	8	57
1992	9	70
1992	10	73
1992	11	82
1992	12	80
1993	1	70
1993	2	84
1993	3	84
1993	4	72
1993	5	45
1993	6	28
1993	7	55
1993	8	43
1993	9	49
1993	10	35
1993	11	57
1993	12	55
1994	1	74
1994	2	42
1994	3	48
1994	4	49
1994	5	70
1994	6	59
1994	7	82
1994	8	54
1994	9	30
1994	10	64
1994	11	68
1994	12	76
1995	1	69
1995	2	57
1995	3	46
1995	4	71
1995	5	54
1995	6	24
1995	7	55
1995	8	51
1995	9	81
1995	10	59
1995	11	60
1995	12	55
1996	1	56
1996	2	45
1996	3	64
1996	4	43
1996	5	82
1996	6	31
1996	7	52
1996	8	51
1996	9	43
1996	10	72
1996	11	68
1996	12	46
1997	1	39
1997	2	56
1997	3	62
1997	4	67
1997	5	51
1997	6	56
1997	7	68
1997	8	161
1997	9	85
1997	10	70
1997	11	91
1997	12	67
1998	1	78
1998	2	59
1998	3	63
1998	4	74
1998	5	101
1998	6	65
1998	7	88
1998	8	105
1998	9	100
1998	10	126
1998	11	85
1998	12	73
1999	1	104
1999	2	82
1999	3	89
1999	4	98
1999	5	64
1999	6	108
1999	7	91
1999	8	112
1999	9	113
1999	10	131
1999	11	59
1999	12	68
2000	1	104
2000	2	93
2000	3	123
2000	4	108
2000	5	102
2000	6	169
2000	7	156
2000	8	136
2000	9	109
2000	10	96
2000	11	154
2000	12	101
2001	1	180
2001	2	117
2001	3	159
2001	4	156
2001	5	95
2001	6	111
2001	7	93
2001	8	94
2001	9	56
2001	10	102
2001	11	83
2001	12	97
2002	1	91
2002	2	77
2002	3	67
2002	4	76
2002	5	86
2002	6	74
2002	7	91
2002	8	76
2002	9	69
2002	10	100
2002	11	79
2002	12	56
2003	1	110
2003	2	54
2003	3	47
2003	4	57
2003	5	70
2003	6	62
2003	7	58
2003	8	57
2003	9	71
2003	10	57
2003	11	56
2003	12	119
2004	1	66
2004	2	50
2004	3	83
2004	4	35
2004	5	56
2004	6	59
2004	7	46
2004	8	31
2004	9	41
2004	10	39
2004	11	57
2004	12	55
2005	1	51
2005	2	55
2005	3	41
2005	4	47
2005	5	68
2005	6	42
2005	7	39
2005	8	45
2005	9	25
2005	10	39
2005	11	51
2005	12	39
2006	1	30
2006	2	27
2006	3	22
2006	4	19
2006	5	19
2006	6	27
2006	7	23
2006	8	19
2006	9	20
2006	10	32
2006	11	29
2006	12	25
2007	1	26
2007	2	24
2007	3	27
2007	4	16
2007	5	23
2007	6	37
2007	7	25
2007	8	15
2007	9	20
2007	10	15
2007	11	29
2007	12	28
2008	1	37
2008	2	26
2008	3	25
2008	4	27
2008	5	14
2008	6	20
2008	7	33
2008	8	19
2008	9	22
2008	10	32
2008	11	18
2008	12	19
2009	1	23
2009	2	20
2009	3	38
2009	4	22
2009	5	31
2009	6	19
2009	7	29
2009	8	28
2009	9	23
2009	10	45
2009	11	20
2009	12	3
2010	1	17
2010	2	16
2010	3	11
2010	4	12
2010	5	9
2010	6	9
2010	7	10
2010	8	4
2010	9	16
2010	10	9
2010	11	6
2010	12	12
2011	1	1
2011	2	3
2011	3	3
2011	4	3
2011	5	2
2011	6	3
2011	7	11
2011	8	14
2011	9	8
2011	10	6
2011	11	2
2011	12	4
2012	1	6
2012	2	6
2012	3	9
2012	4	5
2012	5	12
2012	6	2
2012	7	9
2012	8	4
2012	9	4
2012	10	5
2012	11	7
2012	12	5
2013	1	10
2013	2	0
2013	3	7
2013	4	7
2013	5	5
2013	6	2
2013	7	8
2013	8	8
2013	9	16
2013	10	9
2013	11	13
2013	12	7
2014	1	5
2014	2	8
2014	3	7
2014	4	9
2014	5	14
2014	6	7
2014	7	11
2014	8	7
2014	9	8
2014	10	6
2014	11	11
2014	12	7
2015	1	6
2015	2	10
2015	3	9
2015	4	10
2015	5	8
2015	6	4
2015	7	19
2015	8	9
2015	9	4
2015	10	14
2015	11	15
2015	12	6
2016	1	38
2016	2	1
2016	3	2
2016	4	2
2016	5	9
2016	6	4
2016	7	4
2016	8	10
2016	9	5
2016	10	4
2016	11	8
2016	12	10
2017	1	7
2017	2	11
2017	3	6
2017	4	12
2017	5	7
2017	6	7
2017	7	5
2017	8	12
2017	9	14
2017	10	3
2017	11	4
2017	12	5
2018	1	20
2018	2	8
2018	3	5
2018	4	8
2018	5	5
2018	6	5
2018	7	5
2018	8	7
2018	9	0
2018	10	2
2018	11	9
2018	12	2
2019	1	8
2019	2	12
2019	3	10
2019	4	7
2019	5	12
2019	6	13
2019	7	5
2019	8	5
2019	9	2
2019	10	7
2019	11	2
2019	12	2
2020	1	5
2020	2	3
2020	3	6
2020	4	1
2020	5	1
2020	6	2
