Año	Mes	violence type	CaseCount	Escalation	Intensity	Previous State
1958	1	VC	92.0	0	0	Start
1958	1	VI	10.0	0	0	Start
1958	1	VS	82.0	0	0	Start
1958	2	VC	65.0	-1	0	E
1958	2	VI	13.0	1	0	E
1958	2	VS	52.0	-1	0	E
1958	3	VC	56.0	-1	0	F
1958	3	VI	15.0	1	0	D
1958	3	VS	41.0	-1	0	F
1958	4	VC	56.0	0	0	F
1958	4	VI	12.0	-1	0	D
1958	4	VS	44.0	1	0	F
1958	5	VC	59.0	1	0	E
1958	5	VI	17.0	1	0	F
1958	5	VS	42.0	-1	0	D
1958	6	VC	51.0	-1	0	D
1958	6	VI	7.0	-1	0	D
1958	6	VS	44.0	1	0	F
1958	7	VC	76.0	1	0	F
1958	7	VI	14.0	1	0	F
1958	7	VS	62.0	1	0	D
1958	8	VC	49.0	-1	0	D
1958	8	VI	19.0	1	0	D
1958	8	VS	30.0	-1	0	D
1958	9	VC	26.0	-1	0	F
1958	9	VI	9.0	-1	0	D
1958	9	VS	17.0	-1	0	F
1958	10	VC	15.0	-1	0	F
1958	10	VI	0.0	-1	0	F
1958	10	VS	15.0	-1	0	F
1958	11	VC	24.0	1	0	F
1958	11	VI	3.0	1	0	F
1958	11	VS	21.0	1	0	F
1958	12	VC	10.0	-1	0	D
1958	12	VI	0.0	-1	0	D
1958	12	VS	10.0	-1	0	D
1959	1	VC	21.0	1	0	F
1959	1	VI	4.0	1	0	F
1959	1	VS	17.0	1	0	F
1959	2	VC	14.0	-1	0	D
1959	2	VI	0.0	-1	0	D
1959	2	VS	14.0	-1	0	D
1959	3	VC	37.0	1	0	F
1959	3	VI	4.0	1	0	F
1959	3	VS	33.0	1	0	F
1959	4	VC	36.0	-1	0	D
1959	4	VI	10.0	1	0	D
1959	4	VS	26.0	-1	0	D
1959	5	VC	33.0	-1	0	F
1959	5	VI	9.0	-1	0	D
1959	5	VS	24.0	-1	0	F
1959	6	VC	44.0	1	0	F
1959	6	VI	7.0	-1	0	F
1959	6	VS	37.0	1	0	F
1959	7	VC	43.0	-1	0	D
1959	7	VI	16.0	1	0	F
1959	7	VS	27.0	-1	0	D
1959	8	VC	30.0	-1	0	F
1959	8	VI	7.0	-1	0	D
1959	8	VS	23.0	-1	0	F
1959	9	VC	19.0	-1	0	F
1959	9	VI	4.0	-1	0	F
1959	9	VS	15.0	-1	0	F
1959	10	VC	24.0	1	0	F
1959	10	VI	7.0	1	0	F
1959	10	VS	17.0	1	0	F
1959	11	VC	39.0	1	0	D
1959	11	VI	5.0	-1	0	D
1959	11	VS	34.0	1	0	D
1959	12	VC	29.0	-1	0	D
1959	12	VI	9.0	1	0	F
1959	12	VS	20.0	-1	0	D
1960	1	VC	58.0	1	0	F
1960	1	VI	6.0	-1	0	D
1960	1	VS	52.0	1	0	F
1960	2	VC	10.0	-1	0	D
1960	2	VI	1.0	-1	0	F
1960	2	VS	9.0	-1	0	D
1960	3	VC	11.0	1	0	F
1960	3	VI	2.0	1	0	F
1960	3	VS	9.0	0	0	F
1960	4	VC	28.0	1	0	D
1960	4	VI	4.0	1	0	D
1960	4	VS	24.0	1	0	E
1960	5	VC	48.0	1	0	D
1960	5	VI	20.0	1	0	D
1960	5	VS	28.0	1	0	D
1960	6	VC	26.0	-1	0	D
1960	6	VI	3.0	-1	0	D
1960	6	VS	23.0	-1	0	D
1960	7	VC	72.0	1	0	F
1960	7	VI	10.0	1	0	F
1960	7	VS	62.0	1	0	F
1960	8	VC	77.0	1	0	D
1960	8	VI	7.0	-1	0	D
1960	8	VS	70.0	1	0	D
1960	9	VC	35.0	-1	0	D
1960	9	VI	7.0	0	0	F
1960	9	VS	28.0	-1	0	D
1960	10	VC	19.0	-1	0	F
1960	10	VI	2.0	-1	0	E
1960	10	VS	17.0	-1	0	F
1960	11	VC	9.0	-1	0	F
1960	11	VI	0.0	-1	0	F
1960	11	VS	9.0	-1	0	F
1960	12	VC	15.0	1	-1	F
1960	12	VI	3.0	1	-1	F
1960	12	VS	12.0	1	-1	F
1961	1	VC	52.0	1	1	G
1961	1	VI	10.0	1	1	G
1961	1	VS	42.0	1	1	G
1961	2	VC	25.0	-1	-1	A
1961	2	VI	4.0	-1	-1	A
1961	2	VS	21.0	-1	-1	A
1961	3	VC	32.0	1	-1	I
1961	3	VI	12.0	1	1	I
1961	3	VS	20.0	-1	-1	I
1961	4	VC	44.0	1	1	G
1961	4	VI	11.0	-1	1	A
1961	4	VS	33.0	1	1	I
1961	5	VC	30.0	-1	-1	A
1961	5	VI	10.0	-1	1	C
1961	5	VS	20.0	-1	-1	A
1961	6	VC	17.0	-1	-1	I
1961	6	VI	5.0	-1	-1	C
1961	6	VS	12.0	-1	-1	I
1961	7	VC	35.0	1	1	I
1961	7	VI	13.0	1	1	I
1961	7	VS	22.0	1	-1	I
1961	8	VC	33.0	-1	1	A
1961	8	VI	9.0	-1	1	A
1961	8	VS	24.0	1	-1	G
1961	9	VC	26.0	-1	-1	C
1961	9	VI	9.0	0	1	C
1961	9	VS	17.0	-1	-1	G
1961	10	VC	33.0	1	1	I
1961	10	VI	12.0	1	1	B
1961	10	VS	21.0	1	-1	I
1961	11	VC	26.0	-1	-1	A
1961	11	VI	9.0	-1	1	A
1961	11	VS	17.0	-1	-1	G
1961	12	VC	44.0	1	1	I
1961	12	VI	20.0	1	1	C
1961	12	VS	24.0	1	-1	I
1962	1	VC	82.0	1	1	A
1962	1	VI	37.0	1	1	A
1962	1	VS	45.0	1	1	G
1962	2	VC	75.0	-1	1	A
1962	2	VI	23.0	-1	1	A
1962	2	VS	52.0	1	1	A
1962	3	VC	49.0	-1	1	C
1962	3	VI	20.0	-1	1	C
1962	3	VS	29.0	-1	1	A
1962	4	VC	32.0	-1	-1	C
1962	4	VI	19.0	-1	1	C
1962	4	VS	13.0	-1	-1	C
