Año	Mes	violence type	CaseCount	Escalation	Intensity	Previous State
1958	1	VC	79.0	0	0	Start
1958	1	VI	0.0	0	0	Start
1958	1	VS	79.0	0	0	Start
1958	2	VC	49.0	-1	0	E
1958	2	VI	0.0	0	0	E
1958	2	VS	49.0	-1	0	E
1958	3	VC	38.0	-1	0	F
1958	3	VI	0.0	0	0	E
1958	3	VS	38.0	-1	0	F
1958	4	VC	41.0	1	0	F
1958	4	VI	0.0	0	0	E
1958	4	VS	41.0	1	0	F
1958	5	VC	40.0	-1	0	D
1958	5	VI	1.0	1	0	E
1958	5	VS	39.0	-1	0	D
1958	6	VC	40.0	0	0	F
1958	6	VI	0.0	-1	0	D
1958	6	VS	40.0	1	0	F
1958	7	VC	60.0	1	0	E
1958	7	VI	0.0	0	0	F
1958	7	VS	60.0	1	0	D
1958	8	VC	29.0	-1	0	D
1958	8	VI	0.0	0	0	E
1958	8	VS	29.0	-1	0	D
1958	9	VC	17.0	-1	0	F
1958	9	VI	0.0	0	0	E
1958	9	VS	17.0	-1	0	F
1958	10	VC	14.0	-1	0	F
1958	10	VI	0.0	0	0	E
1958	10	VS	14.0	-1	0	F
1958	11	VC	21.0	1	0	F
1958	11	VI	0.0	0	0	E
1958	11	VS	21.0	1	0	F
1958	12	VC	10.0	-1	0	D
1958	12	VI	0.0	0	0	E
1958	12	VS	10.0	-1	0	D
1959	1	VC	17.0	1	0	F
1959	1	VI	0.0	0	0	E
1959	1	VS	17.0	1	0	F
1959	2	VC	13.0	-1	0	D
1959	2	VI	0.0	0	0	E
1959	2	VS	13.0	-1	0	D
1959	3	VC	28.0	1	0	F
1959	3	VI	0.0	0	0	E
1959	3	VS	28.0	1	0	F
1959	4	VC	24.0	-1	0	D
1959	4	VI	0.0	0	0	E
1959	4	VS	24.0	-1	0	D
1959	5	VC	22.0	-1	0	F
1959	5	VI	0.0	0	0	E
1959	5	VS	22.0	-1	0	F
1959	6	VC	35.0	1	0	F
1959	6	VI	0.0	0	0	E
1959	6	VS	35.0	1	0	F
1959	7	VC	28.0	-1	0	D
1959	7	VI	1.0	1	0	E
1959	7	VS	27.0	-1	0	D
