Año	Mes	violence type	VictimsCount	Escalation	Intensity	Previous State
1958	1	VC	201.0	0	0	Start
1958	1	VI	19.0	0	0	Start
1958	1	VS	182.0	0	0	Start
1958	2	VC	142.0	-1	0	E
1958	2	VI	24.0	1	0	E
1958	2	VS	118.0	-1	0	E
1958	3	VC	145.0	1	0	F
1958	3	VI	58.0	1	0	D
1958	3	VS	87.0	-1	0	F
1958	4	VC	154.0	1	0	D
1958	4	VI	41.0	-1	0	D
1958	4	VS	113.0	1	0	F
1958	5	VC	167.0	1	0	D
1958	5	VI	49.0	1	0	F
1958	5	VS	118.0	1	0	D
1958	6	VC	189.0	1	0	D
1958	6	VI	13.0	-1	0	D
1958	6	VS	176.0	1	0	D
1958	7	VC	232.0	1	0	D
1958	7	VI	43.0	1	0	F
1958	7	VS	189.0	1	0	D
1958	8	VC	198.0	-1	0	D
1958	8	VI	107.0	1	0	D
1958	8	VS	91.0	-1	0	D
1958	9	VC	50.0	-1	0	F
1958	9	VI	15.0	-1	0	D
1958	9	VS	35.0	-1	0	F
1958	10	VC	36.0	-1	0	F
1958	10	VI	0.0	-1	0	F
1958	10	VS	36.0	1	0	F
1958	11	VC	48.0	1	0	F
1958	11	VI	4.0	1	0	F
1958	11	VS	44.0	1	0	D
1958	12	VC	20.0	-1	0	D
1958	12	VI	0.0	-1	0	D
1958	12	VS	20.0	-1	0	D
1959	1	VC	39.0	1	0	F
1959	1	VI	12.0	1	0	F
1959	1	VS	27.0	1	0	F
1959	2	VC	35.0	-1	0	D
1959	2	VI	0.0	-1	0	D
1959	2	VS	35.0	1	0	D
1959	3	VC	99.0	1	0	F
1959	3	VI	11.0	1	0	F
1959	3	VS	88.0	1	0	D
1959	4	VC	82.0	-1	0	D
1959	4	VI	17.0	1	0	D
1959	4	VS	65.0	-1	0	D
1959	5	VC	121.0	1	0	F
1959	5	VI	11.0	-1	0	D
1959	5	VS	110.0	1	0	F
1959	6	VC	123.0	1	0	D
1959	6	VI	7.0	-1	0	F
1959	6	VS	116.0	1	0	D
1959	7	VC	88.0	-1	0	D
1959	7	VI	20.0	1	0	F
1959	7	VS	68.0	-1	0	D
1959	8	VC	96.0	1	0	F
1959	8	VI	12.0	-1	0	D
1959	8	VS	84.0	1	0	F
1959	9	VC	58.0	-1	0	D
1959	9	VI	8.0	-1	0	F
1959	9	VS	50.0	-1	0	D
1959	10	VC	67.0	1	0	F
1959	10	VI	10.0	1	0	F
1959	10	VS	57.0	1	0	F
1959	11	VC	75.0	1	0	D
1959	11	VI	5.0	-1	0	D
1959	11	VS	70.0	1	0	D
1959	12	VC	69.0	-1	0	D
1959	12	VI	10.0	1	0	F
1959	12	VS	59.0	-1	0	D
1960	1	VC	135.0	1	0	F
1960	1	VI	27.0	1	0	D
1960	1	VS	108.0	1	0	F
1960	2	VC	20.0	-1	0	D
1960	2	VI	1.0	-1	0	D
1960	2	VS	19.0	-1	0	D
1960	3	VC	22.0	1	0	F
1960	3	VI	3.0	1	0	F
1960	3	VS	19.0	0	0	F
1960	4	VC	71.0	1	0	D
1960	4	VI	9.0	1	0	D
1960	4	VS	62.0	1	0	E
1960	5	VC	109.0	1	0	D
1960	5	VI	47.0	1	0	D
1960	5	VS	62.0	0	0	D
1960	6	VC	46.0	-1	0	D
1960	6	VI	3.0	-1	0	D
1960	6	VS	43.0	-1	0	E
1960	7	VC	141.0	1	0	F
1960	7	VI	22.0	1	0	F
1960	7	VS	119.0	1	0	F
1960	8	VC	141.0	0	0	D
1960	8	VI	8.0	-1	0	D
1960	8	VS	133.0	1	0	D
1960	9	VC	85.0	-1	0	E
1960	9	VI	13.0	1	0	F
1960	9	VS	72.0	-1	0	D
1960	10	VC	46.0	-1	0	F
1960	10	VI	3.0	-1	0	D
1960	10	VS	43.0	-1	0	F
1960	11	VC	25.0	-1	0	F
1960	11	VI	0.0	-1	0	F
1960	11	VS	25.0	-1	0	F
1960	12	VC	30.0	1	-1	F
1960	12	VI	7.0	1	-1	F
1960	12	VS	23.0	-1	-1	F
1961	1	VC	106.0	1	1	G
1961	1	VI	11.0	1	-1	G
1961	1	VS	95.0	1	1	I
1961	2	VC	47.0	-1	-1	A
1961	2	VI	3.0	-1	-1	G
1961	2	VS	44.0	-1	-1	A
1961	3	VC	78.0	1	-1	I
1961	3	VI	21.0	1	1	I
1961	3	VS	57.0	1	-1	I
1961	4	VC	152.0	1	1	G
1961	4	VI	13.0	-1	-1	A
1961	4	VS	139.0	1	1	G
1961	5	VC	70.0	-1	-1	A
1961	5	VI	18.0	1	1	I
1961	5	VS	52.0	-1	-1	A
1961	6	VC	51.0	-1	-1	I
1961	6	VI	14.0	-1	-1	A
1961	6	VS	37.0	-1	-1	I
1961	7	VC	92.0	1	1	I
1961	7	VI	18.0	1	1	I
1961	7	VS	74.0	1	1	I
1961	8	VC	75.0	-1	1	A
1961	8	VI	12.0	-1	1	A
1961	8	VS	63.0	-1	1	A
1961	9	VC	45.0	-1	-1	C
1961	9	VI	9.0	-1	-1	C
1961	9	VS	36.0	-1	-1	C
1961	10	VC	68.0	1	-1	I
1961	10	VI	14.0	1	1	I
1961	10	VS	54.0	1	-1	I
1961	11	VC	58.0	-1	-1	G
1961	11	VI	17.0	1	1	A
1961	11	VS	41.0	-1	-1	G
1961	12	VC	86.0	1	1	I
1961	12	VI	20.0	1	1	A
1961	12	VS	66.0	1	1	I
1962	1	VC	176.0	1	1	A
1962	1	VI	70.0	1	1	A
1962	1	VS	106.0	1	1	A
1962	2	VC	222.0	1	1	A
1962	2	VI	76.0	1	1	A
1962	2	VS	146.0	1	1	A
1962	3	VC	169.0	-1	1	A
1962	3	VI	80.0	1	1	A
1962	3	VS	89.0	-1	1	A
1962	4	VC	142.0	-1	1	C
1962	4	VI	118.0	1	1	A
1962	4	VS	24.0	-1	-1	C
1962	5	VC	52.0	-1	-1	C
1962	5	VI	12.0	-1	-1	A
1962	5	VS	40.0	1	-1	I
1962	6	VC	73.0	1	-1	I
1962	6	VI	24.0	1	1	I
1962	6	VS	49.0	1	-1	G
1962	7	VC	182.0	1	1	G
1962	7	VI	77.0	1	1	A
1962	7	VS	105.0	1	1	G
1962	8	VC	141.0	-1	1	A
1962	8	VI	10.0	-1	-1	A
1962	8	VS	131.0	1	1	A
1962	9	VC	79.0	-1	-1	C
1962	9	VI	35.0	1	1	I
1962	9	VS	44.0	-1	-1	A
1962	10	VC	142.0	1	1	I
1962	10	VI	51.0	1	1	A
1962	10	VS	91.0	1	1	I
1962	11	VC	129.0	-1	1	A
1962	11	VI	26.0	-1	1	A
1962	11	VS	103.0	1	1	A
1962	12	VC	86.0	-1	-1	C
1962	12	VI	46.0	1	1	C
1962	12	VS	40.0	-1	-1	A
1963	1	VC	196.0	1	1	I
1963	1	VI	86.0	1	1	A
1963	1	VS	110.0	1	1	I
1963	2	VC	182.0	-1	1	A
1963	2	VI	32.0	-1	1	A
1963	2	VS	150.0	1	1	A
1963	3	VC	198.0	1	1	C
1963	3	VI	68.0	1	1	C
1963	3	VS	130.0	-1	1	A
1963	4	VC	125.0	-1	1	A
1963	4	VI	67.0	-1	1	A
1963	4	VS	58.0	-1	-1	C
1963	5	VC	141.0	1	1	C
1963	5	VI	83.0	1	1	C
1963	5	VS	58.0	0	-1	I
1963	6	VC	112.0	-1	1	A
1963	6	VI	31.0	-1	-1	A
1963	6	VS	81.0	1	1	H
1963	7	VC	130.0	1	1	C
1963	7	VI	29.0	-1	-1	I
1963	7	VS	101.0	1	1	A
1963	8	VC	106.0	-1	-1	A
1963	8	VI	8.0	-1	-1	I
1963	8	VS	98.0	-1	1	A
1963	9	VC	113.0	1	1	I
1963	9	VI	21.0	1	-1	I
1963	9	VS	92.0	-1	1	C
1963	10	VC	38.0	-1	-1	A
1963	10	VI	14.0	-1	-1	G
1963	10	VS	24.0	-1	-1	C
1963	11	VC	44.0	1	-1	I
1963	11	VI	19.0	1	-1	I
1963	11	VS	25.0	1	-1	I
1963	12	VC	61.0	1	-1	G
1963	12	VI	18.0	-1	-1	G
1963	12	VS	43.0	1	-1	G
1964	1	VC	76.0	1	-1	G
1964	1	VI	34.0	1	-1	I
1964	1	VS	42.0	-1	-1	G
1964	2	VC	49.0	-1	-1	G
1964	2	VI	24.0	-1	-1	G
1964	2	VS	25.0	-1	-1	I
1964	3	VC	39.0	-1	-1	I
1964	3	VI	17.0	-1	-1	I
1964	3	VS	22.0	-1	-1	I
1964	4	VC	57.0	1	-1	I
1964	4	VI	38.0	1	1	I
1964	4	VS	19.0	-1	-1	I
1964	5	VC	57.0	0	-1	G
1964	5	VI	33.0	-1	-1	A
1964	5	VS	24.0	1	-1	I
1964	6	VC	66.0	1	-1	H
1964	6	VI	27.0	-1	-1	I
1964	6	VS	39.0	1	-1	G
1964	7	VC	66.0	0	-1	G
1964	7	VI	29.0	1	-1	I
1964	7	VS	37.0	-1	-1	G
1964	8	VC	39.0	-1	-1	H
1964	8	VI	29.0	0	-1	G
1964	8	VS	10.0	-1	-1	I
1964	9	VC	27.0	-1	-1	I
1964	9	VI	23.0	-1	-1	H
1964	9	VS	4.0	-1	-1	I
1964	10	VC	34.0	1	-1	I
1964	10	VI	31.0	1	-1	I
1964	10	VS	3.0	-1	-1	I
1964	11	VC	8.0	-1	-1	G
1964	11	VI	1.0	-1	-1	G
1964	11	VS	7.0	1	-1	I
1964	12	VC	24.0	1	-1	I
1964	12	VI	7.0	1	-1	I
1964	12	VS	17.0	1	-1	G
1965	1	VC	77.0	1	-1	G
1965	1	VI	35.0	1	-1	G
1965	1	VS	42.0	1	-1	G
1965	2	VC	63.0	-1	-1	G
1965	2	VI	43.0	1	1	G
1965	2	VS	20.0	-1	-1	G
1965	3	VC	88.0	1	-1	I
1965	3	VI	39.0	-1	1	A
1965	3	VS	49.0	1	-1	I
1965	4	VC	61.0	-1	-1	G
1965	4	VI	30.0	-1	-1	C
1965	4	VS	31.0	-1	-1	G
1965	5	VC	72.0	1	-1	I
1965	5	VI	47.0	1	1	I
1965	5	VS	25.0	-1	-1	I
1965	6	VC	58.0	-1	-1	G
1965	6	VI	47.0	0	1	A
1965	6	VS	11.0	-1	-1	I
1965	7	VC	81.0	1	-1	I
1965	7	VI	40.0	-1	1	B
1965	7	VS	41.0	1	-1	I
1965	8	VC	25.0	-1	-1	G
1965	8	VI	21.0	-1	-1	C
1965	8	VS	4.0	-1	-1	G
1965	9	VC	61.0	1	-1	I
1965	9	VI	53.0	1	1	I
1965	9	VS	8.0	1	-1	I
1965	10	VC	71.0	1	-1	G
1965	10	VI	60.0	1	1	A
