Año	Mes	violence type	VictimsCount	Escalation	Intensity	Previous State
1958	1	VC	179.0	0	0	Start
1958	1	VI	0.0	0	0	Start
1958	1	VS	179.0	0	0	Start
1958	2	VC	115.0	-1	0	E
1958	2	VI	0.0	0	0	E
1958	2	VS	115.0	-1	0	E
1958	3	VC	84.0	-1	0	F
1958	3	VI	0.0	0	0	E
1958	3	VS	84.0	-1	0	F
1958	4	VC	110.0	1	0	F
1958	4	VI	0.0	0	0	E
1958	4	VS	110.0	1	0	F
1958	5	VC	142.0	1	0	D
1958	5	VI	27.0	1	0	E
1958	5	VS	115.0	1	0	D
1958	6	VC	170.0	1	0	D
1958	6	VI	0.0	-1	0	D
1958	6	VS	170.0	1	0	D
1958	7	VC	187.0	1	0	D
1958	7	VI	0.0	0	0	F
1958	7	VS	187.0	1	0	D
1958	8	VC	89.0	-1	0	D
1958	8	VI	0.0	0	0	E
1958	8	VS	89.0	-1	0	D
1958	9	VC	35.0	-1	0	F
1958	9	VI	0.0	0	0	E
1958	9	VS	35.0	-1	0	F
1958	10	VC	35.0	0	0	F
1958	10	VI	0.0	0	0	E
1958	10	VS	35.0	0	0	F
1958	11	VC	44.0	1	0	E
1958	11	VI	0.0	0	0	E
1958	11	VS	44.0	1	0	E
1958	12	VC	20.0	-1	0	D
1958	12	VI	0.0	0	0	E
1958	12	VS	20.0	-1	0	D
1959	1	VC	27.0	1	0	F
1959	1	VI	0.0	0	0	E
1959	1	VS	27.0	1	0	F
1959	2	VC	34.0	1	0	D
1959	2	VI	0.0	0	0	E
1959	2	VS	34.0	1	0	D
1959	3	VC	83.0	1	0	D
1959	3	VI	0.0	0	0	E
1959	3	VS	83.0	1	0	D
1959	4	VC	63.0	-1	0	D
1959	4	VI	0.0	0	0	E
1959	4	VS	63.0	-1	0	D
1959	5	VC	108.0	1	0	F
1959	5	VI	0.0	0	0	E
1959	5	VS	108.0	1	0	F
1959	6	VC	114.0	1	0	D
1959	6	VI	0.0	0	0	E
